County,State,2010,2011,2012,2013,2014,2015,2016
Carbon,Montana,"10,063","10,089","10,141","10,337","10,438","10,403","10,485"
Carter,Montana,"1,159","1,136","1,157","1,152","1,150","1,147","1,175"
Cascade,Montana,"81,507","81,714","81,622","82,194","82,056","81,878","81,562"
Chouteau,Montana,"5,810","5,812","5,932","5,853","5,899","5,774","5,780"
Custer,Montana,"11,692","11,758","11,798","11,873","12,008","12,083","11,843"
Daniels,Montana,"1,749","1,760","1,774","1,777","1,797","1,750","1,731"
Dawson,Montana,"8,950","9,026","9,231","9,381","9,505","9,577","9,263"
Deer Lodge,Montana,"9,291","9,280","9,215","9,257","9,115","9,102","9,057"
Fallon,Montana,"2,889","2,930","3,026","3,047","3,110","3,171","3,086"
Fergus,Montana,"11,585","11,461","11,391","11,464","11,329","11,307","11,349"
Flathead,Montana,"90,864","91,270","91,597","92,935","94,567","95,839","97,742"
Gallatin,Montana,"89,654","91,375","92,570","94,798","97,508","100,882","104,739"
Garfield,Montana,"1,192","1,254","1,244","1,254","1,275","1,284","1,299"
Glacier,Montana,"13,421","13,577","13,667","13,789","13,704","13,636","13,711"
Golden Valley,Montana,879,830,827,846,841,818,810
Granite,Montana,"3,075","3,079","3,042","3,069","3,146","3,163","3,286"
Hill,Montana,"16,153","16,394","16,396","16,535","16,502","16,438","16,448"
Jefferson,Montana,"11,407","11,375","11,318","11,455","11,502","11,572","11,779"
Judith Basin,Montana,"2,073","2,009","2,004","2,000","1,984","1,931","1,940"
Lake,Montana,"28,789","28,977","29,012","29,121","29,215","29,457","29,709"
Lewis and Clark,Montana,"63,577","64,272","64,736","65,234","65,703","66,225","66,894"
Liberty,Montana,"2,349","2,379","2,393","2,362","2,348","2,391","2,409"
Lincoln,Montana,"19,694","19,625","19,485","19,424","19,186","19,060","19,294"
McCone,Montana,"1,745","1,709","1,701","1,715","1,715","1,700","1,732"
Madison,Montana,"7,696","7,644","7,663","7,674","7,828","8,026","8,062"
Meagher,Montana,"1,878","1,877","1,886","1,904","1,856","1,821","1,845"
Mineral,Montana,"4,229","4,220","4,128","4,228","4,195","4,192","4,124"
Missoula,Montana,"109,467","110,245","111,042","111,900","112,801","114,122","116,349"
Musselshell,Montana,"4,555","4,747","4,692","4,681","4,645","4,628","4,646"
Park,Montana,"15,596","15,509","15,591","15,698","15,919","16,003","16,115"
Petroleum,Montana,489,490,504,504,488,474,491
Phillips,Montana,"4,252","4,186","4,121","4,159","4,170","4,146","4,113"
Pondera,Montana,"6,160","6,193","6,150","6,216","6,138","6,095","6,035"
Powder River,Montana,"1,739","1,739","1,753","1,753","1,777","1,768","1,746"
Powell,Montana,"7,019","7,084","7,081","6,957","6,882","6,799","6,841"
Prairie,Montana,"1,183","1,141","1,141","1,163","1,125","1,140","1,159"
Ravalli,Montana,"40,324","40,380","40,576","40,668","40,745","41,148","41,918"
Richland,Montana,"9,759","10,144","10,780","11,154","11,531","11,902","11,408"
Roosevelt,Montana,"10,443","10,497","10,856","11,089","11,285","11,417","11,225"
Rosebud,Montana,"9,242","9,324","9,346","9,298","9,321","9,347","9,232"
Sanders,Montana,"11,395","11,400","11,375","11,310","11,313","11,293","11,465"
Sheridan,Montana,"3,368","3,418","3,550","3,626","3,661","3,673","3,608"
Silver Bow,Montana,"34,230","34,405","34,474","34,574","34,752","34,691","34,696"
Stillwater,Montana,"9,114","9,156","9,166","9,255","9,235","9,425","9,360"
Sweet Grass,Montana,"3,619","3,585","3,581","3,658","3,639","3,620","3,616"
Teton,Montana,"6,074","6,060","6,057","6,051","6,031","6,062","6,011"
Toole,Montana,"5,343","5,154","5,217","5,121","5,117","5,077","4,951"
Treasure,Montana,718,713,722,693,689,684,680
Valley,Montana,"7,378","7,461","7,499","7,628","7,627","7,621","7,532"
Wheatland,Montana,"2,156","2,132","2,091","2,123","2,090","2,111","2,130"
Wibaux,Montana,"1,008",982,"1,034","1,101","1,084","1,072","1,042"
Yellowstone,Montana,"148,394","149,772","151,635","153,775","155,279","156,529","157,914"
Adams,Nebraska,"31,328","31,204","31,345","31,527","31,389","31,567","31,683"
Antelope,Nebraska,"6,679","6,621","6,550","6,472","6,419","6,415","6,345"
Arthur,Nebraska,465,468,479,454,451,451,466
Banner,Nebraska,691,655,684,678,670,711,716
Blaine,Nebraska,478,475,498,470,490,477,470
Boone,Nebraska,"5,511","5,407","5,429","5,397","5,357","5,310","5,333"
Box Butte,Nebraska,"11,275","11,295","11,265","11,296","11,298","11,325","11,176"
Boyd,Nebraska,"2,105","2,079","2,060","2,016","2,019","2,002","1,980"
Brown,Nebraska,"3,155","3,098","3,052","2,958","2,974","2,982","2,980"
Buffalo,Nebraska,"46,175","46,824","47,637","47,999","48,200","48,578","49,104"
Burt,Nebraska,"6,842","6,783","6,681","6,570","6,546","6,538","6,537"
Butler,Nebraska,"8,374","8,256","8,252","8,231","8,181","8,058","7,996"
Cass,Nebraska,"25,239","25,237","25,126","25,295","25,404","25,421","25,647"
Cedar,Nebraska,"8,819","8,752","8,699","8,625","8,542","8,518","8,604"
Chase,Nebraska,"3,966","3,983","4,015","3,981","3,981","3,963","3,914"
Cherry,Nebraska,"5,694","5,730","5,732","5,755","5,744","5,824","5,829"
Cheyenne,Nebraska,"9,968","9,989","10,073","10,067","10,113","10,137","10,047"
Clay,Nebraska,"6,536","6,453","6,384","6,358","6,314","6,291","6,135"
Colfax,Nebraska,"10,540","10,566","10,552","10,454","10,663","10,717","10,712"
Cuming,Nebraska,"9,160","9,117","9,082","9,010","9,017","9,075","8,957"
Custer,Nebraska,"10,905","10,903","10,844","10,828","10,770","10,828","10,824"
Dakota,Nebraska,"21,034","20,811","20,714","20,765","20,547","20,550","20,279"
Dawes,Nebraska,"9,168","9,203","9,133","9,062","9,018","8,958","8,911"
Dawson,Nebraska,"24,312","24,216","23,977","24,016","23,986","23,892","23,779"
Deuel,Nebraska,"1,925","1,957","1,959","1,920","1,926","1,910","1,861"
Dixon,Nebraska,"5,988","5,998","5,888","5,815","5,760","5,769","5,742"
Dodge,Nebraska,"36,673","36,930","36,590","36,497","36,614","36,567","36,677"
Douglas,Nebraska,"518,574","524,167","530,755","536,734","543,005","549,029","555,607"
Dundy,Nebraska,"2,008","1,976","1,979","1,955","1,863","1,770","1,806"
Fillmore,Nebraska,"5,871","5,827","5,713","5,637","5,604","5,553","5,622"
Franklin,Nebraska,"3,244","3,204","3,183","3,063","3,046","2,977","2,994"
Frontier,Nebraska,"2,760","2,714","2,719","2,716","2,722","2,631","2,645"
Furnas,Nebraska,"4,945","4,915","4,882","4,830","4,853","4,831","4,762"
Gage,Nebraska,"22,269","21,908","21,654","21,767","21,557","21,715","21,625"
Garden,Nebraska,"2,075","2,062","1,983","1,923","1,908","1,916","1,907"
Garfield,Nebraska,"2,035","2,010","1,994","2,022","2,000","2,014","1,994"
Gosper,Nebraska,"2,040","1,991","2,080","2,017","2,004","2,025","2,025"
Grant,Nebraska,613,634,625,633,626,646,665
Greeley,Nebraska,"2,546","2,535","2,464","2,483","2,483","2,435","2,400"
Hall,Nebraska,"58,805","59,492","60,095","60,485","61,099","61,132","61,353"
Hamilton,Nebraska,"9,127","9,078","9,040","9,122","9,102","9,141","9,158"
Harlan,Nebraska,"3,422","3,436","3,411","3,488","3,468","3,441","3,451"
Hayes,Nebraska,956,952,919,947,910,915,891
Hitchcock,Nebraska,"2,897","2,857","2,873","2,853","2,879","2,879","2,828"
Holt,Nebraska,"10,434","10,443","10,376","10,380","10,359","10,263","10,223"
Hooker,Nebraska,737,743,718,731,722,714,683
Howard,Nebraska,"6,279","6,295","6,298","6,337","6,353","6,382","6,407"
Jefferson,Nebraska,"7,522","7,551","7,534","7,512","7,300","7,221","7,181"
Johnson,Nebraska,"5,233","5,217","5,186","5,167","5,223","5,239","5,213"
Kearney,Nebraska,"6,477","6,547","6,508","6,486","6,587","6,558","6,561"
Keith,Nebraska,"8,357","8,241","8,225","8,158","8,176","8,136","8,096"
Keya Paha,Nebraska,824,819,797,790,795,797,792
Kimball,Nebraska,"3,834","3,808","3,802","3,694","3,726","3,716","3,669"
Knox,Nebraska,"8,677","8,575","8,574","8,552","8,474","8,468","8,484"
Lancaster,Nebraska,"286,162","289,914","293,431","297,109","302,622","306,096","310,306"
Lincoln,Nebraska,"36,250","36,030","35,973","35,936","35,648","35,501","35,487"
Logan,Nebraska,772,779,785,777,767,791,792
Loup,Nebraska,628,617,605,587,596,606,616
McPherson,Nebraska,539,551,509,528,510,489,503
Madison,Nebraska,"34,961","35,005","35,084","35,147","35,083","34,999","34,979"
Merrick,Nebraska,"7,852","7,760","7,845","7,830","7,788","7,805","7,838"
Morrill,Nebraska,"5,039","4,984","4,934","4,925","4,918","4,925","4,867"
Nance,Nebraska,"3,740","3,731","3,674","3,558","3,527","3,573","3,561"
Nemaha,Nebraska,"7,238","7,238","7,152","7,149","7,130","7,005","6,973"
Nuckolls,Nebraska,"4,514","4,447","4,430","4,384","4,347","4,322","4,274"
Otoe,Nebraska,"15,748","15,741","15,689","15,688","15,780","15,842","15,950"
Pawnee,Nebraska,"2,781","2,791","2,791","2,750","2,726","2,691","2,699"
Perkins,Nebraska,"2,978","2,944","2,930","2,891","2,875","2,932","2,892"
Phelps,Nebraska,"9,183","9,142","9,210","9,179","9,162","9,217","9,193"
Pierce,Nebraska,"7,260","7,194","7,187","7,180","7,204","7,190","7,144"
Platte,Nebraska,"32,305","32,512","32,669","32,595","32,740","32,876","33,008"
Polk,Nebraska,"5,394","5,336","5,266","5,242","5,268","5,171","5,190"
Red Willow,Nebraska,"11,059","11,049","11,044","11,053","10,901","10,883","10,767"
Richardson,Nebraska,"8,372","8,342","8,283","8,131","8,110","8,025","8,004"
Rock,Nebraska,"1,524","1,480","1,426","1,440","1,449","1,417","1,404"
Saline,Nebraska,"14,222","14,326","14,416","14,299","14,297","14,196","14,228"
Sarpy,Nebraska,"159,720","162,568","165,664","168,990","171,853","175,173","178,355"
Saunders,Nebraska,"20,869","20,841","20,797","20,877","20,860","20,949","20,992"
Scotts Bluff,Nebraska,"37,057","36,956","36,905","36,853","36,437","36,245","36,420"
Seward,Nebraska,"16,799","16,705","16,897","16,994","17,012","16,994","17,103"
Sheridan,Nebraska,"5,444","5,360","5,327","5,208","5,250","5,216","5,235"
Sherman,Nebraska,"3,164","3,102","3,078","3,061","3,034","3,036","3,012"
Sioux,Nebraska,"1,311","1,319","1,323","1,330","1,321","1,276","1,259"
Stanton,Nebraska,"6,142","6,176","6,091","6,087","6,097","5,944","5,975"
Thayer,Nebraska,"5,235","5,170","5,145","5,179","5,213","5,129","5,080"
Thomas,Nebraska,647,698,701,705,701,693,722
Thurston,Nebraska,"6,969","6,903","6,925","6,872","6,961","7,073","7,139"
Valley,Nebraska,"4,265","4,228","4,216","4,181","4,217","4,168","4,201"
Washington,Nebraska,"19,921","19,918","19,949","19,851","19,930","19,917","20,213"
Wayne,Nebraska,"9,609","9,451","9,499","9,441","9,402","9,366","9,379"
Webster,Nebraska,"3,809","3,757","3,734","3,643","3,645","3,592","3,566"
Wheeler,Nebraska,825,815,797,779,786,779,804
York,Nebraska,"13,669","13,785","13,835","13,852","13,917","13,797","13,740"
Churchill,Nevada,"24,818","24,593","24,245","23,927","23,824","23,957","23,904"
Clark,Nevada,"1,952,587","1,961,925","1,989,224","2,017,193","2,053,134","2,096,717","2,138,836"
Douglas,Nevada,"47,037","46,971","46,910","46,935","47,373","47,404","47,834"
Elko,Nevada,"49,088","49,442","50,969","52,334","52,531","51,728","52,082"
Esmeralda,Nevada,784,770,791,847,824,830,826
Eureka,Nevada,"1,990","1,977","1,991","2,049","1,988","2,029","1,936"
Humboldt,Nevada,"16,584","16,639","17,071","17,354","17,215","17,017","16,795"
Lander,Nevada,"5,795","5,839","5,920","6,060","5,968","5,873","5,684"
Lincoln,Nevada,"5,351","5,269","5,371","5,267","5,199","5,136","5,154"
Lyon,Nevada,"52,045","51,385","50,971","51,090","51,334","51,974","52,707"
Mineral,Nevada,"4,786","4,628","4,657","4,553","4,469","4,420","4,376"
Nye,Nevada,"43,844","43,976","43,585","42,869","42,840","42,966","43,248"
Pershing,Nevada,"6,737","6,610","6,751","6,842","6,702","6,618","6,576"
Storey,Nevada,"3,997","3,905","3,838","3,795","3,803","3,876","3,986"
Washoe,Nevada,"421,954","423,996","427,370","431,083","436,307","442,453","449,723"
White Pine,Nevada,"10,027","10,129","10,020","10,046","10,035","9,873","9,749"
Carson City,Nevada,"54,981","54,676","54,312","53,726","54,082","54,068","54,147"
Belknap,New Hampshire,"60,101","60,335","60,438","60,235","60,285","60,370","60,747"
Carroll,New Hampshire,"47,826","47,680","47,694","47,520","47,433","47,399","47,497"
Cheshire,New Hampshire,"77,058","76,933","76,902","76,712","76,426","76,288","75,975"
Coos,New Hampshire,"32,970","32,507","31,978","31,949","32,779","32,343","31,916"
Grafton,New Hampshire,"89,130","89,276","89,617","89,894","89,930","89,439","90,004"
Hillsborough,New Hampshire,"401,055","402,774","404,344","405,281","407,275","408,985","411,333"
Merrimack,New Hampshire,"146,388","146,867","147,105","147,497","148,161","148,649","149,063"
Rockingham,New Hampshire,"295,289","296,195","298,157","299,456","301,361","302,691","304,377"
Strafford,New Hampshire,"123,200","124,133","124,768","125,029","126,542","127,038","128,311"
Sullivan,New Hampshire,"43,745","43,502","43,229","43,049","43,149","43,148","43,084"
Atlantic,New Jersey,"274,648","274,621","274,629","274,314","272,578","270,153","267,217"
Bergen,New Jersey,"906,284","911,994","916,255","919,951","923,403","926,391","928,120"
Burlington,New Jersey,"449,129","450,187","450,522","448,824","448,168","446,832","445,972"
Camden,New Jersey,"513,275","512,585","511,584","509,908","508,316","507,638","507,002"
Cape May,New Jersey,"97,212","96,494","96,228","95,498","94,907","94,160","93,655"
Cumberland,New Jersey,"156,699","157,043","156,934","156,098","156,009","154,712","153,233"
Essex,New Jersey,"784,037","785,551","785,063","786,649","788,726","790,439","792,689"
Gloucester,New Jersey,"289,150","289,687","289,804","289,883","290,680","290,943","290,761"
Hudson,New Jersey,"635,652","645,634","652,348","657,047","660,240","664,492","668,588"
Hunterdon,New Jersey,"127,322","127,330","126,594","126,376","125,835","125,452","124,775"
Mercer,New Jersey,"367,713","367,378","368,554","369,429","368,909","368,124","367,699"
Middlesex,New Jersey,"810,758","815,198","819,344","821,743","824,160","825,546","825,457"
Monmouth,New Jersey,"630,461","629,119","627,641","626,912","625,512","624,079","622,971"
Morris,New Jersey,"492,617","494,792","495,620","496,030","494,848","494,259","493,801"
Ocean,New Jersey,"577,564","578,876","579,932","582,059","584,447","587,091","590,897"
Passaic,New Jersey,"502,023","503,264","503,558","503,857","504,547","504,629","504,147"
Salem,New Jersey,"65,980","65,875","65,413","64,786","64,323","63,732","63,203"
Somerset,New Jersey,"324,122","326,249","327,407","329,047","329,329","329,626","329,875"
Sussex,New Jersey,"148,855","148,167","146,979","145,639","144,593","143,004","141,925"
Union,New Jersey,"537,369","539,931","542,970","546,025","548,014","549,905","552,781"
Warren,New Jersey,"108,576","108,142","107,563","106,897","106,981","106,742","106,059"
Bernalillo,New Mexico,"663,923","670,283","673,615","676,326","675,957","676,248","677,683"
Catron,New Mexico,"3,748","3,716","3,635","3,586","3,547","3,476","3,518"
Chaves,New Mexico,"65,720","65,720","65,765","66,009","65,809","65,825","65,646"
Cibola,New Mexico,"27,315","27,489","27,418","27,414","27,155","27,044","27,049"
Colfax,New Mexico,"13,725","13,618","13,246","13,068","12,703","12,429","12,250"
Curry,New Mexico,"48,971","49,819","50,806","50,775","51,109","50,290","50,283"
De Baca,New Mexico,"2,031","2,000","1,957","1,928","1,861","1,873","1,835"
Doña Ana,New Mexico,"210,097","213,126","214,450","214,288","213,933","214,034","214,663"
Eddy,New Mexico,"53,909","54,070","54,419","55,662","56,682","57,715","57,650"
Grant,New Mexico,"29,383","29,346","29,257","29,104","28,871","28,364","28,040"
Guadalupe,New Mexico,"4,695","4,625","4,591","4,531","4,442","4,350","4,369"
Harding,New Mexico,690,713,700,691,693,719,687
Hidalgo,New Mexico,"4,864","4,843","4,780","4,624","4,549","4,436","4,324"
Lea,New Mexico,"64,598","65,126","66,362","68,613","70,165","71,476","70,249"
Lincoln,New Mexico,"20,450","20,406","20,194","19,976","19,597","19,352","19,397"
Los Alamos,New Mexico,"17,994","18,229","18,234","17,947","17,803","17,817","18,209"
Luna,New Mexico,"25,081","25,106","24,921","24,592","24,428","24,367","24,362"
McKinley,New Mexico,"71,673","72,332","72,365","72,665","72,796","73,462","73,028"
Mora,New Mexico,"4,893","4,781","4,684","4,695","4,613","4,609","4,533"
Otero,New Mexico,"64,403","65,642","66,208","66,304","65,336","64,768","65,647"
Quay,New Mexico,"9,064","9,045","8,808","8,675","8,465","8,445","8,390"
Rio Arriba,New Mexico,"40,286","40,244","40,195","40,064","39,736","39,370","39,245"
Roosevelt,New Mexico,"20,018","20,430","20,318","20,021","19,647","19,137","19,145"
Sandoval,New Mexico,"132,431","134,326","135,380","136,311","137,023","138,521","140,464"
San Juan,New Mexico,"130,203","129,711","129,756","129,467","129,084","128,246","127,954"
San Miguel,New Mexico,"29,393","29,352","29,091","28,819","28,493","28,215","28,005"
Santa Fe,New Mexico,"144,522","145,847","146,722","147,465","147,782","148,098","148,758"
Sierra,New Mexico,"12,041","12,023","11,854","11,524","11,264","11,236","11,117"
Socorro,New Mexico,"17,791","17,775","17,475","17,509","17,258","17,152","16,964"
Taos,New Mexico,"32,895","32,890","32,759","32,957","32,963","32,797","32,922"
Torrance,New Mexico,"16,404","16,447","16,155","15,825","15,666","15,596","15,491"
Union,New Mexico,"4,541","4,410","4,400","4,347","4,246","4,163","4,154"
Valencia,New Mexico,"76,800","76,960","76,789","76,491","75,892","75,661","75,599"
Albany,New York,"304,086","304,596","305,723","306,589","307,151","307,433","307,597"
Allegany,New York,"48,971","48,800","48,210","47,900","47,652","47,334","47,044"
Bronx,New York,"1,387,298","1,397,335","1,411,496","1,421,928","1,430,942","1,440,005","1,444,417"
Broome,New York,"200,481","199,363","198,667","197,914","197,251","195,928","194,498"
Cattaraugus,New York,"80,218","79,815","79,348","78,996","78,677","77,926","77,658"
Cayuga,New York,"79,895","79,693","79,505","79,088","78,762","78,298","77,674"
Chautauqua,New York,"134,725","134,209","133,304","132,852","131,751","130,529","129,206"
Chemung,New York,"88,895","88,899","89,137","88,199","87,177","86,705","85,644"
Chenango,New York,"50,399","50,182","49,883","49,477","49,319","48,772","48,315"
Clinton,New York,"82,096","81,728","81,714","81,523","81,463","80,718","80,500"
Columbia,New York,"63,036","62,528","62,449","62,170","61,942","61,434","60,835"
Cortland,New York,"49,279","49,380","49,023","48,905","48,740","48,290","47,915"
Delaware,New York,"47,888","47,584","47,215","46,803","46,562","45,891","45,393"
Dutchess,New York,"297,728","298,133","297,023","296,268","295,127","294,039","293,029"
Erie,New York,"919,152","919,843","919,906","920,869","921,755","920,644","918,678"
Essex,New York,"39,360","39,271","38,875","38,601","38,323","37,965","37,671"
Franklin,New York,"51,645","51,545","51,791","51,212","51,096","50,540","51,081"
Fulton,New York,"55,455","55,112","54,845","54,345","53,932","53,801","53,610"
Genesee,New York,"59,928","59,880","59,672","59,112","58,725","58,462","58,013"
Greene,New York,"49,139","48,857","48,587","48,308","47,964","47,616","47,494"
Hamilton,New York,"4,851","4,826","4,803","4,766","4,700","4,699","4,556"
Herkimer,New York,"64,470","64,386","64,227","63,883","63,384","62,652","62,436"
Jefferson,New York,"116,592","117,752","120,235","118,490","117,971","116,371","112,980"
Kings,New York,"2,509,828","2,540,817","2,568,450","2,587,684","2,601,513","2,608,794","2,608,423"
Lewis,New York,"27,077","27,027","27,196","27,098","27,089","26,827","26,647"
Livingston,New York,"65,240","64,849","64,796","64,627","64,585","64,344","64,000"
Madison,New York,"73,440","72,887","72,414","72,457","72,210","71,636","71,387"
Monroe,New York,"744,580","746,751","747,344","748,290","747,364","745,577","743,770"
Montgomery,New York,"50,307","49,911","49,829","49,743","49,679","49,564","49,169"
Nassau,New York,"1,341,669","1,346,223","1,349,616","1,352,193","1,354,705","1,354,840","1,355,952"
New York,New York,"1,588,767","1,608,293","1,623,911","1,627,491","1,630,678","1,636,063","1,635,443"
Niagara,New York,"216,475","215,719","214,713","214,105","213,305","212,358","211,554"
Oneida,New York,"234,756","234,218","233,765","233,347","232,598","231,264","230,375"
Onondaga,New York,"467,533","467,614","467,030","468,146","467,285","466,277","464,109"
Ontario,New York,"108,176","108,599","108,611","109,044","109,334","109,271","109,229"
Orange,New York,"373,445","374,097","373,699","374,320","374,845","375,803","377,799"
Orleans,New York,"42,851","42,648","42,391","42,229","41,861","41,481","41,247"
Oswego,New York,"122,137","121,981","121,458","121,170","120,590","119,735","118,895"
Otsego,New York,"62,259","61,971","61,747","61,614","60,950","60,504","60,132"
Putnam,New York,"99,667","99,827","99,625","99,572","99,438","99,185","98,761"
Queens,New York,"2,234,701","2,255,482","2,272,222","2,287,185","2,298,736","2,305,838","2,306,830"
Rensselaer,New York,"159,340","159,589","159,437","159,545","159,666","159,436","159,294"
Richmond,New York,"469,615","471,021","470,614","471,803","471,937","472,349","474,040"
Rockland,New York,"312,499","315,452","317,196","319,284","321,119","322,919","323,258"
St. Lawrence,Lawrence County,"111,812","112,277","112,355","111,931","111,437","110,348","109,449"
Saratoga,New York,"220,109","221,111","222,483","224,087","224,513","226,078","227,122"
Schenectady,New York,"154,861","154,864","155,016","154,944","155,016","154,733","154,475"
Schoharie,New York,"32,686","32,618","32,039","31,900","31,767","31,405","31,304"
Schuyler,New York,"18,334","18,413","18,498","18,382","18,176","18,027","17,967"
Seneca,New York,"35,266","35,380","35,388","35,250","34,879","34,801","34,710"
Steuben,New York,"99,005","99,148","98,925","98,843","98,165","97,551","96,958"
Suffolk,New York,"1,494,339","1,498,892","1,496,982","1,497,346","1,495,525","1,491,967","1,486,406"
Sullivan,New York,"77,476","77,053","76,931","76,945","75,634","74,832","74,922"
Tioga,New York,"51,008","50,875","50,278","50,103","49,824","49,355","48,824"
Tompkins,New York,"101,740","101,821","102,726","103,553","103,391","103,006","102,942"
Ulster,New York,"182,418","182,448","181,538","180,698","180,400","179,658","179,042"
Warren,New York,"65,665","65,736","65,417","65,083","64,866","64,420","64,438"
Washington,New York,"63,356","63,091","63,003","62,765","62,475","62,246","61,795"
Wayne,New York,"93,751","93,256","93,029","92,339","91,801","91,291","90,758"
Westchester,New York,"950,601","956,262","959,585","964,567","967,044","968,773","970,267"
Wyoming,New York,"42,126","41,849","41,700","41,359","41,134","40,930","40,432"
Yates,New York,"25,376","25,454","25,337","25,207","25,149","25,128","25,059"
Alamance,North Carolina,"151,431","152,692","153,265","154,162","155,384","157,037","160,283"
Alexander,North Carolina,"37,233","37,026","36,922","37,012","36,987","36,960","37,133"
Alleghany,North Carolina,"11,137","11,016","10,943","10,903","10,891","10,856","10,919"
Anson,North Carolina,"26,852","26,512","26,309","25,957","25,965","25,602","25,165"
Ashe,North Carolina,"27,228","26,986","26,924","26,840","26,764","26,628","26,600"
Avery,North Carolina,"17,799","17,770","17,611","17,654","17,650","17,486","17,442"
Beaufort,North Carolina,"47,822","47,675","47,431","47,382","47,339","47,389","47,369"
Bertie,North Carolina,"21,245","20,858","20,494","20,326","20,316","20,162","19,423"
Bladen,North Carolina,"35,181","34,880","34,807","34,618","34,361","34,083","33,638"
Brunswick,North Carolina,"108,069","110,185","112,013","114,922","118,305","122,211","126,304"
Buncombe,North Carolina,"238,738","241,172","243,655","246,807","249,084","251,954","254,955"
Burke,North Carolina,"90,580","90,542","89,974","89,354","89,296","89,341","89,451"
Cabarrus,North Carolina,"178,562","181,175","184,340","187,240","191,680","196,396","201,639"
Caldwell,North Carolina,"83,022","82,451","82,081","82,048","81,667","81,518","81,766"
Camden,North Carolina,"10,009","10,024","10,003","10,116","10,278","10,282","10,397"
Carteret,North Carolina,"66,700","67,418","67,770","68,388","68,629","68,712","68,808"
Caswell,North Carolina,"23,750","23,456","23,042","23,093","22,807","22,813","22,755"
Catawba,North Carolina,"154,730","154,459","154,693","154,965","155,085","155,527","156,448"
Chatham,North Carolina,"63,845","64,109","64,527","65,243","66,669","68,263","69,642"
Cherokee,North Carolina,"27,435","27,180","27,034","27,125","27,078","27,102","27,809"
Chowan,North Carolina,"14,738","14,807","14,695","14,668","14,502","14,248","14,201"
Clay,North Carolina,"10,608","10,686","10,654","10,597","10,566","10,623","10,749"
Cleveland,North Carolina,"97,917","97,442","97,317","96,873","97,009","96,850","96,960"
Columbus,North Carolina,"57,992","57,705","57,534","57,080","56,883","56,675","56,292"
Craven,North Carolina,"104,171","104,831","105,319","104,285","104,055","102,853","102,632"
Cumberland,North Carolina,"327,197","330,503","329,985","332,997","332,364","331,203","333,167"
Currituck,North Carolina,"23,674","23,906","24,025","24,253","24,820","25,106","25,640"
Dare,North Carolina,"33,982","34,156","34,383","34,810","34,894","35,468","35,829"
Davidson,North Carolina,"162,840","162,923","163,040","163,295","163,383","163,486","164,270"
Davie,North Carolina,"41,254","41,335","41,281","41,435","41,259","41,648","41,921"
Duplin,North Carolina,"58,666","59,216","59,449","59,328","59,432","58,883","59,275"
Durham,North Carolina,"271,357","276,563","282,659","288,723","295,137","300,793","307,826"
Edgecombe,North Carolina,"56,619","56,050","55,675","55,422","54,866","53,743","53,283"
Forsyth,North Carolina,"351,374","354,524","357,598","360,594","364,439","367,365","371,260"
Franklin,North Carolina,"60,835","60,946","61,405","62,074","62,691","63,668","64,676"
Gaston,North Carolina,"206,114","206,886","207,903","209,212","210,545","212,919","216,622"
Gates,North Carolina,"12,165","12,043","11,890","11,703","11,633","11,531","11,569"
Graham,North Carolina,"8,867","8,811","8,707","8,719","8,621","8,588","8,531"
Granville,North Carolina,"57,673","57,503","57,557","57,762","57,995","58,162","58,684"
Greene,North Carolina,"21,258","21,514","21,191","21,011","21,012","20,950","21,078"
Guilford,North Carolina,"489,618","494,953","500,514","506,400","512,233","517,053","524,265"
Halifax,North Carolina,"54,470","54,114","53,732","53,187","52,833","52,182","51,815"
Harnett,North Carolina,"115,753","119,178","122,204","125,028","126,685","128,034","130,674"
Haywood,North Carolina,"58,932","58,726","58,640","58,962","59,132","59,646","60,405"
Henderson,North Carolina,"106,891","107,370","107,768","108,879","110,258","111,847","113,583"
Hertford,North Carolina,"24,764","24,718","24,600","24,575","24,582","24,373","24,209"
Hoke,North Carolina,"47,496","49,468","50,483","51,155","51,586","52,739","52,981"
Hyde,North Carolina,"5,811","5,798","5,689","5,654","5,600","5,426","5,434"
Iredell,North Carolina,"159,778","161,037","162,670","164,582","166,498","169,453","172,466"
Jackson,North Carolina,"40,368","40,240","40,636","41,001","40,920","41,305","42,622"
Johnston,North Carolina,"169,678","172,446","174,383","177,227","180,710","185,104","190,843"
Jones,North Carolina,"10,143","10,060","10,071","10,007","9,851","9,777","9,588"
Lee,North Carolina,"57,877","58,531","59,240","59,762","59,401","59,371","59,646"
Lenoir,North Carolina,"59,488","59,411","59,114","58,732","58,255","57,981","57,240"
Lincoln,North Carolina,"78,134","78,297","78,729","79,111","79,446","80,607","81,229"
McDowell,North Carolina,"45,102","45,053","44,999","45,021","45,007","44,967","44,866"
Macon,North Carolina,"33,959","33,887","33,806","33,738","33,824","34,090","34,262"
Madison,North Carolina,"20,777","20,845","20,882","21,147","21,187","21,146","21,367"
Martin,North Carolina,"24,506","24,186","23,845","23,637","23,435","23,262","23,122"
Mecklenburg,North Carolina,"923,242","943,823","967,063","990,677","1,010,229","1,033,238","1,056,901"
Mitchell,North Carolina,"15,512","15,356","15,330","15,282","15,174","15,071","14,996"
Montgomery,North Carolina,"27,729","27,706","27,522","27,446","27,283","27,438","27,301"
Moore,North Carolina,"88,594","89,262","90,191","91,366","92,816","94,013","95,405"
