Location,total_votes,2000_republican_votes,2000_democrat_votes
"Colorado, Delta",12686,8372.0,3264.0
"Colorado, Denver",198347,61224.0,122693.0
"Colorado, Dolores",1134,741.0,293.0
"Colorado, Douglas",86225,56007.0,27076.0
"Colorado, Eagle",15188,7165.0,6772.0
"Colorado, Elbert",8965,6151.0,2326.0
"Colorado, El Paso",200757,128294.0,61799.0
"Colorado, Fremont",16056,9914.0,5293.0
"Colorado, Garfield",17104,9103.0,6087.0
"Colorado, Gilpin",2465,1006.0,1099.0
"Colorado, Grand",6353,3570.0,2308.0
"Colorado, Gunnison",7236,3128.0,3059.0
"Colorado, Hinsdale",566,316.0,188.0
"Colorado, Huerfano",3174,1466.0,1495.0
"Colorado, Jackson",925,682.0,173.0
"Colorado, Jefferson",235491,120138.0,100970.0
"Colorado, Kiowa",968,728.0,211.0
"Colorado, Kit Carson",3458,2542.0,809.0
"Colorado, Lake",2628,1056.0,1296.0
"Colorado, La Plata",20490,9993.0,7864.0
"Colorado, Larimer",118537,62429.0,46055.0
"Colorado, Las Animas",6094,2569.0,3243.0
"Colorado, Lincoln",2199,1630.0,510.0
"Colorado, Logan",8096,5531.0,2296.0
"Colorado, Mesa",51054,32396.0,15465.0
"Colorado, Mineral",486,294.0,168.0
"Colorado, Moffat",5337,3840.0,1223.0
"Colorado, Montezuma",9384,6158.0,2556.0
"Colorado, Montrose",14215,9266.0,4041.0
"Colorado, Morgan",8998,5722.0,2885.0
"Colorado, Otero",7312,4082.0,2963.0
"Colorado, Ouray",2233,1279.0,705.0
"Colorado, Park",6665,3677.0,2393.0
"Colorado, Phillips",2220,1573.0,564.0
"Colorado, Pitkin",7800,2565.0,4137.0
"Colorado, Prowers",4524,3026.0,1361.0
"Colorado, Pueblo",53946,22827.0,28888.0
"Colorado, Rio Blanco",2855,2185.0,543.0
"Colorado, Rio Grande",5075,3111.0,1707.0
"Colorado, Routt",9638,4472.0,4208.0
"Colorado, Saguache",2529,1078.0,1145.0
"Colorado, San Juan",436,210.0,149.0
"Colorado, San Miguel",3255,1043.0,1598.0
"Colorado, Sedgwick",1303,877.0,384.0
"Colorado, Summit",11068,4497.0,5304.0
"Colorado, Teller",9847,6477.0,2750.0
"Colorado, Washington",2445,1878.0,477.0
"Colorado, Weld",64541,37409.0,23436.0
"Colorado, Yuma",4358,3156.0,1082.0
"Connecticut, Fairfield",370289,159659.0,193769.0
"Connecticut, Hartford",367556,127468.0,221167.0
"Connecticut, Litchfield",87338,39172.0,41806.0
"Connecticut, Middlesex",77433,29295.0,43319.0
"Connecticut, New Haven",341099,122919.0,197928.0
"Connecticut, New London",109147,41168.0,60449.0
"Connecticut, Tolland",62700,24705.0,33554.0
"Connecticut, Windham",43963,16708.0,24023.0
"Delaware, Kent",48247,24081.0,22790.0
"Delaware, New Castle",212995,78587.0,127539.0
"Delaware, Sussex",66287,34620.0,29739.0
"District of Columbia, District of Columbia",201894,18073.0,171923.0
"Florida, Alachua",85729,34124.0,47365.0
"Florida, Baker",8154,5610.0,2392.0
"Florida, Bay",58805,38637.0,18850.0
"Florida, Bradford",8673,5414.0,3075.0
"Florida, Brevard",218395,115185.0,97318.0
"Florida, Broward",575143,177902.0,387703.0
"Florida, Calhoun",5174,2873.0,2155.0
"Florida, Charlotte",66896,35426.0,29645.0
"Florida, Citrus",57206,29767.0,25525.0
"Florida, Clay",57353,41736.0,14632.0
"Florida, Collier",92162,60450.0,29921.0
"Florida, Columbia",18508,10964.0,7047.0
"Florida, Desoto",7817,4256.0,3320.0
"Florida, Dixie",4666,2697.0,1826.0
"Florida, Duval",264636,152098.0,107864.0
"Florida, Escambia",116648,73017.0,40943.0
"Florida, Flagler",27111,12613.0,13897.0
"Florida, Franklin",4644,2454.0,2046.0
"Florida, Gadsden",14727,4767.0,9735.0
"Florida, Gilchrist",5395,3300.0,1910.0
"Florida, Glades",3365,1841.0,1442.0
"Florida, Gulf",6144,3550.0,2397.0
"Florida, Hamilton",3964,2146.0,1722.0
"Florida, Hardee",6233,3765.0,2339.0
"Florida, Hendry",8139,4747.0,3240.0
"Florida, Hernando",65219,30646.0,32644.0
"Florida, Highlands",35149,20206.0,14167.0
"Florida, Hillsborough",360295,180760.0,169557.0
"Florida, Holmes",7395,5011.0,2177.0
"Florida, Indian River",49622,28635.0,19768.0
"Florida, Jackson",16300,9138.0,6868.0
"Florida, Jefferson",5644,2478.0,3041.0
"Florida, Lafayette",2505,1670.0,789.0
"Florida, Lake",88611,50010.0,36571.0
"Florida, Lee",184377,106141.0,73560.0
"Florida, Leon",103124,39062.0,61427.0
"Florida, Levy",12724,6858.0,5398.0
"Florida, Liberty",2410,1317.0,1017.0
"Florida, Madison",6162,3038.0,3014.0
"Florida, Manatee",110221,57952.0,49177.0
"Florida, Marion",102956,55141.0,44665.0
"Florida, Martin",62013,33970.0,26620.0
"Florida, Miami-Dade",625449,289533.0,328808.0
"Florida, Monroe",33896,16059.0,16483.0
"Florida, Nassau",23780,16404.0,6952.0
"Florida, Okaloosa",70680,52093.0,16948.0
"Florida, Okeechobee",9853,5057.0,4588.0
"Florida, Orange",280125,134517.0,140220.0
"Florida, Osceola",55659,26212.0,28181.0
"Florida, Palm Beach",433186,152951.0,269732.0
"Florida, Pasco",142731,68582.0,69564.0
"Florida, Pinellas",398472,184825.0,200630.0
"Florida, Polk",168607,90295.0,75200.0
"Florida, Putnam",26222,13447.0,12102.0
"Florida, St. Johns",60746,39546.0,19502.0
"Florida, St. Lucie",77989,34705.0,41559.0
"Florida, Santa Rosa",50319,36274.0,12802.0
"Florida, Sarasota",160942,83100.0,72853.0
"Florida, Seminole",137634,75677.0,59174.0
"Florida, Sumter",22261,12127.0,9637.0
"Florida, Suwannee",12473,8006.0,4075.0
"Florida, Taylor",6808,4056.0,2649.0
"Florida, Union",3826,2332.0,1407.0
"Florida, Volusia",183654,82357.0,97304.0
"Florida, Wakulla",8587,4512.0,3838.0
"Florida, Walton",18318,12182.0,5642.0
"Florida, Washington",8029,4994.0,2798.0
"Georgia, Appling",6099,3940.0,2093.0
"Georgia, Atkinson",2071,1228.0,821.0
"Georgia, Bacon",2995,2010.0,956.0
