year,state,state_code,county,candidate,party,candidate_votes,total_votes,Location
2004,Alabama,AL,Pike,John Kerry,democrat,4334.0,11883,"Alabama, Pike"
2004,Alabama,AL,Pike,George W. Bush,republican,7483.0,11883,"Alabama, Pike"
2004,Alabama,AL,Randolph,John Kerry,democrat,2817.0,9001,"Alabama, Randolph"
2004,Alabama,AL,Randolph,George W. Bush,republican,6127.0,9001,"Alabama, Randolph"
2004,Alabama,AL,Russell,John Kerry,democrat,8375.0,16809,"Alabama, Russell"
2004,Alabama,AL,Russell,George W. Bush,republican,8337.0,16809,"Alabama, Russell"
2004,Alabama,AL,Shelby,John Kerry,democrat,14850.0,78906,"Alabama, Shelby"
2004,Alabama,AL,Shelby,George W. Bush,republican,63435.0,78906,"Alabama, Shelby"
2004,Alabama,AL,St. Clair,John Kerry,democrat,5456.0,29161,"Alabama, St. Clair"
2004,Alabama,AL,St. Clair,George W. Bush,republican,23500.0,29161,"Alabama, St. Clair"
2004,Alabama,AL,Sumter,John Kerry,democrat,4527.0,6433,"Alabama, Sumter"
2004,Alabama,AL,Sumter,George W. Bush,republican,1880.0,6433,"Alabama, Sumter"
2004,Alabama,AL,Talladega,John Kerry,democrat,11374.0,29898,"Alabama, Talladega"
2004,Alabama,AL,Talladega,George W. Bush,republican,18331.0,29898,"Alabama, Talladega"
2004,Alabama,AL,Tallapoosa,John Kerry,democrat,5451.0,17952,"Alabama, Tallapoosa"
2004,Alabama,AL,Tallapoosa,George W. Bush,republican,12392.0,17952,"Alabama, Tallapoosa"
2004,Alabama,AL,Tuscaloosa,John Kerry,democrat,26447.0,69830,"Alabama, Tuscaloosa"
2004,Alabama,AL,Tuscaloosa,George W. Bush,republican,42877.0,69830,"Alabama, Tuscaloosa"
2004,Alabama,AL,Walker,John Kerry,democrat,9016.0,28367,"Alabama, Walker"
2004,Alabama,AL,Walker,George W. Bush,republican,19167.0,28367,"Alabama, Walker"
2004,Alabama,AL,Washington,John Kerry,democrat,3145.0,8247,"Alabama, Washington"
2004,Alabama,AL,Washington,George W. Bush,republican,5060.0,8247,"Alabama, Washington"
2004,Alabama,AL,Wilcox,John Kerry,democrat,3838.0,5682,"Alabama, Wilcox"
2004,Alabama,AL,Wilcox,George W. Bush,republican,1834.0,5682,"Alabama, Wilcox"
2004,Alabama,AL,Winston,John Kerry,democrat,2236.0,10423,"Alabama, Winston"
2004,Alabama,AL,Winston,George W. Bush,republican,8130.0,10423,"Alabama, Winston"
2004,Arizona,AZ,Apache,John Kerry,democrat,15658.0,24198,"Arizona, Apache"
2004,Arizona,AZ,Apache,George W. Bush,republican,8384.0,24198,"Arizona, Apache"
2004,Arizona,AZ,Cochise,John Kerry,democrat,17514.0,44483,"Arizona, Cochise"
2004,Arizona,AZ,Cochise,George W. Bush,republican,26556.0,44483,"Arizona, Cochise"
2004,Arizona,AZ,Coconino,John Kerry,democrat,29243.0,52267,"Arizona, Coconino"
2004,Arizona,AZ,Coconino,George W. Bush,republican,22526.0,52267,"Arizona, Coconino"
2004,Arizona,AZ,Gila,John Kerry,democrat,8314.0,20843,"Arizona, Gila"
2004,Arizona,AZ,Gila,George W. Bush,republican,12343.0,20843,"Arizona, Gila"
2004,Arizona,AZ,Graham,John Kerry,democrat,3185.0,10720,"Arizona, Graham"
2004,Arizona,AZ,Graham,George W. Bush,republican,7467.0,10720,"Arizona, Graham"
2004,Arizona,AZ,Greenlee,John Kerry,democrat,1146.0,3067,"Arizona, Greenlee"
2004,Arizona,AZ,Greenlee,George W. Bush,republican,1899.0,3067,"Arizona, Greenlee"
2004,Arizona,AZ,La Paz,John Kerry,democrat,1849.0,5055,"Arizona, La Paz"
2004,Arizona,AZ,La Paz,George W. Bush,republican,3158.0,5055,"Arizona, La Paz"
2004,Arizona,AZ,Maricopa,John Kerry,democrat,504849.0,1192751,"Arizona, Maricopa"
2004,Arizona,AZ,Maricopa,George W. Bush,republican,679455.0,1192751,"Arizona, Maricopa"
2004,Arizona,AZ,Mohave,John Kerry,democrat,20503.0,57807,"Arizona, Mohave"
2004,Arizona,AZ,Mohave,George W. Bush,republican,36794.0,57807,"Arizona, Mohave"
