year,state,state_code,county,candidate,party,candidate_votes,total_votes,Location
2004,Minnesota,MN,Nicollet,John Kerry,democrat,8797.0,17741,"Minnesota, Nicollet"
2004,Minnesota,MN,Nicollet,George W. Bush,republican,8689.0,17741,"Minnesota, Nicollet"
2004,Minnesota,MN,Nobles,John Kerry,democrat,3898.0,9204,"Minnesota, Nobles"
2004,Minnesota,MN,Nobles,George W. Bush,republican,5159.0,9204,"Minnesota, Nobles"
2004,Minnesota,MN,Norman,John Kerry,democrat,1954.0,3810,"Minnesota, Norman"
2004,Minnesota,MN,Norman,George W. Bush,republican,1794.0,3810,"Minnesota, Norman"
2004,Minnesota,MN,Olmsted,John Kerry,democrat,33285.0,71576,"Minnesota, Olmsted"
2004,Minnesota,MN,Olmsted,George W. Bush,republican,37371.0,71576,"Minnesota, Olmsted"
2004,Minnesota,MN,Otter Tail,John Kerry,democrat,12038.0,32178,"Minnesota, Otter Tail"
2004,Minnesota,MN,Otter Tail,George W. Bush,republican,19734.0,32178,"Minnesota, Otter Tail"
2004,Minnesota,MN,Pennington,John Kerry,democrat,3117.0,7017,"Minnesota, Pennington"
2004,Minnesota,MN,Pennington,George W. Bush,republican,3767.0,7017,"Minnesota, Pennington"
2004,Minnesota,MN,Pine,John Kerry,democrat,7228.0,14518,"Minnesota, Pine"
2004,Minnesota,MN,Pine,George W. Bush,republican,7033.0,14518,"Minnesota, Pine"
2004,Minnesota,MN,Pipestone,John Kerry,democrat,1900.0,5032,"Minnesota, Pipestone"
2004,Minnesota,MN,Pipestone,George W. Bush,republican,3066.0,5032,"Minnesota, Pipestone"
2004,Minnesota,MN,Polk,John Kerry,democrat,6729.0,15668,"Minnesota, Polk"
2004,Minnesota,MN,Polk,George W. Bush,republican,8724.0,15668,"Minnesota, Polk"
2004,Minnesota,MN,Pope,John Kerry,democrat,3301.0,6700,"Minnesota, Pope"
2004,Minnesota,MN,Pope,George W. Bush,republican,3303.0,6700,"Minnesota, Pope"
2004,Minnesota,MN,Ramsey,John Kerry,democrat,171846.0,272577,"Minnesota, Ramsey"
2004,Minnesota,MN,Ramsey,George W. Bush,republican,97096.0,272577,"Minnesota, Ramsey"
2004,Minnesota,MN,Red Lake,John Kerry,democrat,963.0,2176,"Minnesota, Red Lake"
2004,Minnesota,MN,Red Lake,George W. Bush,republican,1164.0,2176,"Minnesota, Red Lake"
2004,Minnesota,MN,Redwood,John Kerry,democrat,3104.0,8139,"Minnesota, Redwood"
2004,Minnesota,MN,Redwood,George W. Bush,republican,4898.0,8139,"Minnesota, Redwood"
2004,Minnesota,MN,Renville,John Kerry,democrat,3787.0,8349,"Minnesota, Renville"
2004,Minnesota,MN,Renville,George W. Bush,republican,4430.0,8349,"Minnesota, Renville"
2004,Minnesota,MN,Rice,John Kerry,democrat,16425.0,30745,"Minnesota, Rice"
2004,Minnesota,MN,Rice,George W. Bush,republican,13881.0,30745,"Minnesota, Rice"
2004,Minnesota,MN,Rock,John Kerry,democrat,2000.0,5191,"Minnesota, Rock"
2004,Minnesota,MN,Rock,George W. Bush,republican,3111.0,5191,"Minnesota, Rock"
2004,Minnesota,MN,Roseau,John Kerry,democrat,2442.0,7911,"Minnesota, Roseau"
2004,Minnesota,MN,Roseau,George W. Bush,republican,5355.0,7911,"Minnesota, Roseau"
2004,Minnesota,MN,Scott,John Kerry,democrat,23958.0,60639,"Minnesota, Scott"
2004,Minnesota,MN,Scott,George W. Bush,republican,36055.0,60639,"Minnesota, Scott"
2004,Minnesota,MN,Sherburne,John Kerry,democrat,15816.0,41454,"Minnesota, Sherburne"
2004,Minnesota,MN,Sherburne,George W. Bush,republican,25182.0,41454,"Minnesota, Sherburne"
2004,Minnesota,MN,Sibley,John Kerry,democrat,3109.0,7949,"Minnesota, Sibley"
2004,Minnesota,MN,Sibley,George W. Bush,republican,4669.0,7949,"Minnesota, Sibley"
2004,Minnesota,MN,Stearns,John Kerry,democrat,32659.0,75577,"Minnesota, Stearns"
2004,Minnesota,MN,Stearns,George W. Bush,republican,41726.0,75577,"Minnesota, Stearns"
2004,Minnesota,MN,Steele,John Kerry,democrat,7994.0,18695,"Minnesota, Steele"
2004,Minnesota,MN,Steele,George W. Bush,republican,10389.0,18695,"Minnesota, Steele"
2004,Minnesota,MN,Stevens,John Kerry,democrat,2821.0,5949,"Minnesota, Stevens"
2004,Minnesota,MN,Stevens,George W. Bush,republican,3030.0,5949,"Minnesota, Stevens"
2004,Minnesota,MN,Swift,John Kerry,democrat,3165.0,5735,"Minnesota, Swift"
2004,Minnesota,MN,Swift,George W. Bush,republican,2481.0,5735,"Minnesota, Swift"
2004,Minnesota,MN,Todd,John Kerry,democrat,5034.0,12214,"Minnesota, Todd"
2004,Minnesota,MN,Todd,George W. Bush,republican,6945.0,12214,"Minnesota, Todd"
2004,Minnesota,MN,Traverse,John Kerry,democrat,1026.0,2141,"Minnesota, Traverse"
2004,Minnesota,MN,Traverse,George W. Bush,republican,1076.0,2141,"Minnesota, Traverse"
2004,Minnesota,MN,Wabasha,John Kerry,democrat,5548.0,11835,"Minnesota, Wabasha"
2004,Minnesota,MN,Wabasha,George W. Bush,republican,6120.0,11835,"Minnesota, Wabasha"
2004,Minnesota,MN,Wadena,John Kerry,democrat,2791.0,7093,"Minnesota, Wadena"
2004,Minnesota,MN,Wadena,George W. Bush,republican,4214.0,7093,"Minnesota, Wadena"
2004,Minnesota,MN,Waseca,John Kerry,democrat,4179.0,9800,"Minnesota, Waseca"
2004,Minnesota,MN,Waseca,George W. Bush,republican,5457.0,9800,"Minnesota, Waseca"
2004,Minnesota,MN,Washington,John Kerry,democrat,61395.0,128449,"Minnesota, Washington"
2004,Minnesota,MN,Washington,George W. Bush,republican,65751.0,128449,"Minnesota, Washington"
2004,Minnesota,MN,Watonwan,John Kerry,democrat,2514.0,5583,"Minnesota, Watonwan"
2004,Minnesota,MN,Watonwan,George W. Bush,republican,2970.0,5583,"Minnesota, Watonwan"
2004,Minnesota,MN,Wilkin,John Kerry,democrat,1169.0,3527,"Minnesota, Wilkin"
2004,Minnesota,MN,Wilkin,George W. Bush,republican,2303.0,3527,"Minnesota, Wilkin"
2004,Minnesota,MN,Winona,John Kerry,democrat,14231.0,27406,"Minnesota, Winona"
2004,Minnesota,MN,Winona,George W. Bush,republican,12686.0,27406,"Minnesota, Winona"
2004,Minnesota,MN,Wright,John Kerry,democrat,22618.0,59534,"Minnesota, Wright"
2004,Minnesota,MN,Wright,George W. Bush,republican,36176.0,59534,"Minnesota, Wright"
2004,Minnesota,MN,Yellow Medicine,John Kerry,democrat,2799.0,5758,"Minnesota, Yellow Medicine"
2004,Minnesota,MN,Yellow Medicine,George W. Bush,republican,2878.0,5758,"Minnesota, Yellow Medicine"
2004,Mississippi,MS,Adams,John Kerry,democrat,7844.0,14376,"Mississippi, Adams"
2004,Mississippi,MS,Adams,George W. Bush,republican,6487.0,14376,"Mississippi, Adams"
2004,Mississippi,MS,Alcorn,John Kerry,democrat,5425.0,14181,"Mississippi, Alcorn"
2004,Mississippi,MS,Alcorn,George W. Bush,republican,8605.0,14181,"Mississippi, Alcorn"
2004,Mississippi,MS,Amite,John Kerry,democrat,2973.0,7117,"Mississippi, Amite"
2004,Mississippi,MS,Amite,George W. Bush,republican,4106.0,7117,"Mississippi, Amite"
2004,Mississippi,MS,Attala,John Kerry,democrat,3014.0,7945,"Mississippi, Attala"
2004,Mississippi,MS,Attala,George W. Bush,republican,4882.0,7945,"Mississippi, Attala"
2004,Mississippi,MS,Benton,John Kerry,democrat,2234.0,4229,"Mississippi, Benton"
2004,Mississippi,MS,Benton,George W. Bush,republican,1962.0,4229,"Mississippi, Benton"
2004,Mississippi,MS,Bolivar,John Kerry,democrat,8560.0,13427,"Mississippi, Bolivar"
2004,Mississippi,MS,Bolivar,George W. Bush,republican,4722.0,13427,"Mississippi, Bolivar"
2004,Mississippi,MS,Calhoun,John Kerry,democrat,2211.0,6331,"Mississippi, Calhoun"
2004,Mississippi,MS,Calhoun,George W. Bush,republican,4096.0,6331,"Mississippi, Calhoun"
2004,Mississippi,MS,Carroll,John Kerry,democrat,1897.0,5577,"Mississippi, Carroll"
2004,Mississippi,MS,Carroll,George W. Bush,republican,3652.0,5577,"Mississippi, Carroll"
2004,Mississippi,MS,Chickasaw,John Kerry,democrat,4078.0,8343,"Mississippi, Chickasaw"
2004,Mississippi,MS,Chickasaw,George W. Bush,republican,4193.0,8343,"Mississippi, Chickasaw"
2004,Mississippi,MS,Choctaw,John Kerry,democrat,1290.0,3908,"Mississippi, Choctaw"
2004,Mississippi,MS,Choctaw,George W. Bush,republican,2598.0,3908,"Mississippi, Choctaw"
2004,Mississippi,MS,Claiborne,John Kerry,democrat,4338.0,5321,"Mississippi, Claiborne"
2004,Mississippi,MS,Claiborne,George W. Bush,republican,941.0,5321,"Mississippi, Claiborne"
2004,Mississippi,MS,Clarke,John Kerry,democrat,2377.0,7438,"Mississippi, Clarke"
2004,Mississippi,MS,Clarke,George W. Bush,republican,5027.0,7438,"Mississippi, Clarke"
2004,Mississippi,MS,Clay,John Kerry,democrat,4732.0,9111,"Mississippi, Clay"
2004,Mississippi,MS,Clay,George W. Bush,republican,4333.0,9111,"Mississippi, Clay"
2004,Mississippi,MS,Coahoma,John Kerry,democrat,6741.0,10516,"Mississippi, Coahoma"
2004,Mississippi,MS,Coahoma,George W. Bush,republican,3643.0,10516,"Mississippi, Coahoma"
2004,Mississippi,MS,Copiah,John Kerry,democrat,4902.0,11272,"Mississippi, Copiah"
2004,Mississippi,MS,Copiah,George W. Bush,republican,6316.0,11272,"Mississippi, Copiah"
2004,Mississippi,MS,Covington,John Kerry,democrat,3135.0,8194,"Mississippi, Covington"
2004,Mississippi,MS,Covington,George W. Bush,republican,5010.0,8194,"Mississippi, Covington"
2004,Mississippi,MS,DeSoto,John Kerry,democrat,13247.0,48981,"Mississippi, DeSoto"
2004,Mississippi,MS,DeSoto,George W. Bush,republican,35437.0,48981,"Mississippi, DeSoto"
2004,Mississippi,MS,Forrest,John Kerry,democrat,9781.0,25936,"Mississippi, Forrest"
2004,Mississippi,MS,Forrest,George W. Bush,republican,15966.0,25936,"Mississippi, Forrest"
2004,Mississippi,MS,Franklin,John Kerry,democrat,1566.0,4473,"Mississippi, Franklin"
2004,Mississippi,MS,Franklin,George W. Bush,republican,2883.0,4473,"Mississippi, Franklin"
2004,Mississippi,MS,George,John Kerry,democrat,1715.0,7950,"Mississippi, George"
2004,Mississippi,MS,George,George W. Bush,republican,6182.0,7950,"Mississippi, George"
2004,Mississippi,MS,Greene,John Kerry,democrat,1419.0,5275,"Mississippi, Greene"
2004,Mississippi,MS,Greene,George W. Bush,republican,3827.0,5275,"Mississippi, Greene"
2004,Mississippi,MS,Grenada,John Kerry,democrat,4154.0,10050,"Mississippi, Grenada"
2004,Mississippi,MS,Grenada,George W. Bush,republican,5844.0,10050,"Mississippi, Grenada"
2004,Mississippi,MS,Hancock,John Kerry,democrat,5023.0,17550,"Mississippi, Hancock"
2004,Mississippi,MS,Hancock,George W. Bush,republican,12332.0,17550,"Mississippi, Hancock"
2004,Mississippi,MS,Harrison,John Kerry,democrat,22555.0,61810,"Mississippi, Harrison"
2004,Mississippi,MS,Harrison,George W. Bush,republican,38781.0,61810,"Mississippi, Harrison"
2004,Mississippi,MS,Hinds,John Kerry,democrat,51370.0,86265,"Mississippi, Hinds"
2004,Mississippi,MS,Hinds,George W. Bush,republican,34269.0,86265,"Mississippi, Hinds"
2004,Mississippi,MS,Holmes,John Kerry,democrat,6170.0,8144,"Mississippi, Holmes"
2004,Mississippi,MS,Holmes,George W. Bush,republican,1925.0,8144,"Mississippi, Holmes"
2004,Mississippi,MS,Humphreys,John Kerry,democrat,2975.0,4651,"Mississippi, Humphreys"
2004,Mississippi,MS,Humphreys,George W. Bush,republican,1626.0,4651,"Mississippi, Humphreys"
2004,Mississippi,MS,Issaquena,John Kerry,democrat,510.0,962,"Mississippi, Issaquena"
2004,Mississippi,MS,Issaquena,George W. Bush,republican,437.0,962,"Mississippi, Issaquena"
2004,Mississippi,MS,Itawamba,John Kerry,democrat,2771.0,9596,"Mississippi, Itawamba"
2004,Mississippi,MS,Itawamba,George W. Bush,republican,6751.0,9596,"Mississippi, Itawamba"
2004,Mississippi,MS,Jackson,John Kerry,democrat,15046.0,49414,"Mississippi, Jackson"
2004,Mississippi,MS,Jackson,George W. Bush,republican,34035.0,49414,"Mississippi, Jackson"
2004,Mississippi,MS,Jasper,John Kerry,democrat,4081.0,7926,"Mississippi, Jasper"
2004,Mississippi,MS,Jasper,George W. Bush,republican,3808.0,7926,"Mississippi, Jasper"
2004,Mississippi,MS,Jefferson,John Kerry,democrat,2798.0,3440,"Mississippi, Jefferson"
2004,Mississippi,MS,Jefferson,George W. Bush,republican,627.0,3440,"Mississippi, Jefferson"
2004,Mississippi,MS,Jefferson Davis,John Kerry,democrat,2955.0,5760,"Mississippi, Jefferson Davis"
2004,Mississippi,MS,Jefferson Davis,George W. Bush,republican,2667.0,5760,"Mississippi, Jefferson Davis"
2004,Mississippi,MS,Jones,John Kerry,democrat,7344.0,26518,"Mississippi, Jones"
2004,Mississippi,MS,Jones,George W. Bush,republican,19032.0,26518,"Mississippi, Jones"
2004,Mississippi,MS,Kemper,John Kerry,democrat,2454.0,4589,"Mississippi, Kemper"
2004,Mississippi,MS,Kemper,George W. Bush,republican,2107.0,4589,"Mississippi, Kemper"
2004,Mississippi,MS,Lafayette,John Kerry,democrat,6218.0,15388,"Mississippi, Lafayette"
2004,Mississippi,MS,Lafayette,George W. Bush,republican,9004.0,15388,"Mississippi, Lafayette"
2004,Mississippi,MS,Lamar,John Kerry,democrat,3876.0,20294,"Mississippi, Lamar"
2004,Mississippi,MS,Lamar,George W. Bush,republican,16288.0,20294,"Mississippi, Lamar"
2004,Mississippi,MS,Lauderdale,John Kerry,democrat,10026.0,29555,"Mississippi, Lauderdale"
2004,Mississippi,MS,Lauderdale,George W. Bush,republican,19395.0,29555,"Mississippi, Lauderdale"
2004,Mississippi,MS,Lawrence,John Kerry,democrat,2355.0,6522,"Mississippi, Lawrence"
2004,Mississippi,MS,Lawrence,George W. Bush,republican,4119.0,6522,"Mississippi, Lawrence"
2004,Mississippi,MS,Leake,John Kerry,democrat,3212.0,8173,"Mississippi, Leake"
2004,Mississippi,MS,Leake,George W. Bush,republican,4926.0,8173,"Mississippi, Leake"
2004,Mississippi,MS,Lee,John Kerry,democrat,9895.0,30010,"Mississippi, Lee"
2004,Mississippi,MS,Lee,George W. Bush,republican,19878.0,30010,"Mississippi, Lee"
2004,Mississippi,MS,Leflore,John Kerry,democrat,7240.0,11684,"Mississippi, Leflore"
2004,Mississippi,MS,Leflore,George W. Bush,republican,4427.0,11684,"Mississippi, Leflore"
2004,Mississippi,MS,Lincoln,John Kerry,democrat,4372.0,14326,"Mississippi, Lincoln"
2004,Mississippi,MS,Lincoln,George W. Bush,republican,9889.0,14326,"Mississippi, Lincoln"
2004,Mississippi,MS,Lowndes,John Kerry,democrat,7904.0,20748,"Mississippi, Lowndes"
2004,Mississippi,MS,Lowndes,George W. Bush,republican,12642.0,20748,"Mississippi, Lowndes"
2004,Mississippi,MS,Madison,John Kerry,democrat,12942.0,37148,"Mississippi, Madison"
2004,Mississippi,MS,Madison,George W. Bush,republican,24015.0,37148,"Mississippi, Madison"
2004,Mississippi,MS,Marion,John Kerry,democrat,3828.0,11732,"Mississippi, Marion"
2004,Mississippi,MS,Marion,George W. Bush,republican,7845.0,11732,"Mississippi, Marion"
2004,Mississippi,MS,Marshall,John Kerry,democrat,8472.0,14486,"Mississippi, Marshall"
2004,Mississippi,MS,Marshall,George W. Bush,republican,5932.0,14486,"Mississippi, Marshall"
2004,Mississippi,MS,Monroe,John Kerry,democrat,6149.0,15459,"Mississippi, Monroe"
2004,Mississippi,MS,Monroe,George W. Bush,republican,9223.0,15459,"Mississippi, Monroe"
2004,Mississippi,MS,Montgomery,John Kerry,democrat,2422.0,5396,"Mississippi, Montgomery"
2004,Mississippi,MS,Montgomery,George W. Bush,republican,2953.0,5396,"Mississippi, Montgomery"
2004,Mississippi,MS,Neshoba,John Kerry,democrat,2515.0,10133,"Mississippi, Neshoba"
2004,Mississippi,MS,Neshoba,George W. Bush,republican,7581.0,10133,"Mississippi, Neshoba"
2004,Mississippi,MS,Newton,John Kerry,democrat,2274.0,8472,"Mississippi, Newton"
2004,Mississippi,MS,Newton,George W. Bush,republican,6156.0,8472,"Mississippi, Newton"
2004,Mississippi,MS,Noxubee,John Kerry,democrat,4293.0,6020,"Mississippi, Noxubee"
2004,Mississippi,MS,Noxubee,George W. Bush,republican,1698.0,6020,"Mississippi, Noxubee"
2004,Mississippi,MS,Oktibbeha,John Kerry,democrat,4178.0,9742,"Mississippi, Oktibbeha"
2004,Mississippi,MS,Oktibbeha,George W. Bush,republican,5485.0,9742,"Mississippi, Oktibbeha"
2004,Mississippi,MS,Panola,John Kerry,democrat,6540.0,13330,"Mississippi, Panola"
2004,Mississippi,MS,Panola,George W. Bush,republican,6734.0,13330,"Mississippi, Panola"
2004,Mississippi,MS,Pearl River,John Kerry,democrat,4392.0,19121,"Mississippi, Pearl River"
2004,Mississippi,MS,Pearl River,George W. Bush,republican,14612.0,19121,"Mississippi, Pearl River"
2004,Mississippi,MS,Perry,John Kerry,democrat,1259.0,5010,"Mississippi, Perry"
2004,Mississippi,MS,Perry,George W. Bush,republican,3729.0,5010,"Mississippi, Perry"
2004,Mississippi,MS,Pike,John Kerry,democrat,7578.0,16215,"Mississippi, Pike"
2004,Mississippi,MS,Pike,George W. Bush,republican,8547.0,16215,"Mississippi, Pike"
2004,Mississippi,MS,Pontotoc,John Kerry,democrat,2591.0,11061,"Mississippi, Pontotoc"
2004,Mississippi,MS,Pontotoc,George W. Bush,republican,8375.0,11061,"Mississippi, Pontotoc"
2004,Mississippi,MS,Prentiss,John Kerry,democrat,3306.0,9876,"Mississippi, Prentiss"
2004,Mississippi,MS,Prentiss,George W. Bush,republican,6503.0,9876,"Mississippi, Prentiss"
2004,Mississippi,MS,Quitman,John Kerry,democrat,2032.0,3416,"Mississippi, Quitman"
2004,Mississippi,MS,Quitman,George W. Bush,republican,1360.0,3416,"Mississippi, Quitman"
2004,Mississippi,MS,Rankin,John Kerry,democrat,10738.0,53365,"Mississippi, Rankin"
2004,Mississippi,MS,Rankin,George W. Bush,republican,41971.0,53365,"Mississippi, Rankin"
2004,Mississippi,MS,Scott,John Kerry,democrat,3780.0,10175,"Mississippi, Scott"
2004,Mississippi,MS,Scott,George W. Bush,republican,6364.0,10175,"Mississippi, Scott"
2004,Mississippi,MS,Sharkey,John Kerry,democrat,1553.0,3081,"Mississippi, Sharkey"
2004,Mississippi,MS,Sharkey,George W. Bush,republican,1115.0,3081,"Mississippi, Sharkey"
2004,Mississippi,MS,Simpson,John Kerry,democrat,3262.0,10077,"Mississippi, Simpson"
2004,Mississippi,MS,Simpson,George W. Bush,republican,6810.0,10077,"Mississippi, Simpson"
2004,Mississippi,MS,Smith,John Kerry,democrat,1493.0,7106,"Mississippi, Smith"
2004,Mississippi,MS,Smith,George W. Bush,republican,5566.0,7106,"Mississippi, Smith"
2004,Mississippi,MS,Stone,John Kerry,democrat,1502.0,5630,"Mississippi, Stone"
2004,Mississippi,MS,Stone,George W. Bush,republican,4072.0,5630,"Mississippi, Stone"
2004,Mississippi,MS,Sunflower,John Kerry,democrat,6057.0,9663,"Mississippi, Sunflower"
2004,Mississippi,MS,Sunflower,George W. Bush,republican,3492.0,9663,"Mississippi, Sunflower"
2004,Mississippi,MS,Tallahatchie,John Kerry,democrat,3377.0,6161,"Mississippi, Tallahatchie"
2004,Mississippi,MS,Tallahatchie,George W. Bush,republican,2725.0,6161,"Mississippi, Tallahatchie"
2004,Mississippi,MS,Tate,John Kerry,democrat,4279.0,11001,"Mississippi, Tate"
2004,Mississippi,MS,Tate,George W. Bush,republican,6663.0,11001,"Mississippi, Tate"
2004,Mississippi,MS,Tippah,John Kerry,democrat,2983.0,9113,"Mississippi, Tippah"
2004,Mississippi,MS,Tippah,George W. Bush,republican,6048.0,9113,"Mississippi, Tippah"
2004,Mississippi,MS,Tishomingo,John Kerry,democrat,2775.0,8165,"Mississippi, Tishomingo"
2004,Mississippi,MS,Tishomingo,George W. Bush,republican,5288.0,8165,"Mississippi, Tishomingo"
2004,Mississippi,MS,Tunica,John Kerry,democrat,1934.0,2815,"Mississippi, Tunica"
2004,Mississippi,MS,Tunica,George W. Bush,republican,845.0,2815,"Mississippi, Tunica"
2004,Mississippi,MS,Union,John Kerry,democrat,2710.0,10199,"Mississippi, Union"
2004,Mississippi,MS,Union,George W. Bush,republican,7422.0,10199,"Mississippi, Union"
2004,Mississippi,MS,Walthall,John Kerry,democrat,2550.0,6459,"Mississippi, Walthall"
2004,Mississippi,MS,Walthall,George W. Bush,republican,3873.0,6459,"Mississippi, Walthall"
2004,Mississippi,MS,Warren,John Kerry,democrat,8244.0,20117,"Mississippi, Warren"
2004,Mississippi,MS,Warren,George W. Bush,republican,11773.0,20117,"Mississippi, Warren"
2004,Mississippi,MS,Washington,John Kerry,democrat,10562.0,17875,"Mississippi, Washington"
2004,Mississippi,MS,Washington,George W. Bush,republican,7031.0,17875,"Mississippi, Washington"
2004,Mississippi,MS,Wayne,John Kerry,democrat,3155.0,8527,"Mississippi, Wayne"
2004,Mississippi,MS,Wayne,George W. Bush,republican,5333.0,8527,"Mississippi, Wayne"
2004,Mississippi,MS,Webster,John Kerry,democrat,1318.0,5002,"Mississippi, Webster"
2004,Mississippi,MS,Webster,George W. Bush,republican,3668.0,5002,"Mississippi, Webster"
2004,Mississippi,MS,Wilkinson,John Kerry,democrat,2794.0,4388,"Mississippi, Wilkinson"
2004,Mississippi,MS,Wilkinson,George W. Bush,republican,1563.0,4388,"Mississippi, Wilkinson"
2004,Mississippi,MS,Winston,John Kerry,democrat,3960.0,9382,"Mississippi, Winston"
2004,Mississippi,MS,Winston,George W. Bush,republican,5375.0,9382,"Mississippi, Winston"
2004,Mississippi,MS,Yalobusha,John Kerry,democrat,2656.0,5971,"Mississippi, Yalobusha"
2004,Mississippi,MS,Yalobusha,George W. Bush,republican,3278.0,5971,"Mississippi, Yalobusha"
2004,Mississippi,MS,Yazoo,John Kerry,democrat,4798.0,10694,"Mississippi, Yazoo"
2004,Mississippi,MS,Yazoo,George W. Bush,republican,5595.0,10694,"Mississippi, Yazoo"
2004,Missouri,MO,Adair,John Kerry,democrat,4938.0,11404,"Missouri, Adair"
2004,Missouri,MO,Adair,George W. Bush,republican,6367.0,11404,"Missouri, Adair"
2004,Missouri,MO,Andrew,John Kerry,democrat,3069.0,8266,"Missouri, Andrew"
2004,Missouri,MO,Andrew,George W. Bush,republican,5135.0,8266,"Missouri, Andrew"
2004,Missouri,MO,Atchison,John Kerry,democrat,1005.0,3156,"Missouri, Atchison"
2004,Missouri,MO,Atchison,George W. Bush,republican,2137.0,3156,"Missouri, Atchison"
2004,Missouri,MO,Audrain,John Kerry,democrat,4318.0,10683,"Missouri, Audrain"
2004,Missouri,MO,Audrain,George W. Bush,republican,6294.0,10683,"Missouri, Audrain"
2004,Missouri,MO,Barry,John Kerry,democrat,4223.0,13927,"Missouri, Barry"
2004,Missouri,MO,Barry,George W. Bush,republican,9599.0,13927,"Missouri, Barry"
2004,Missouri,MO,Barton,John Kerry,democrat,1373.0,5991,"Missouri, Barton"
2004,Missouri,MO,Barton,George W. Bush,republican,4572.0,5991,"Missouri, Barton"
2004,Missouri,MO,Bates,John Kerry,democrat,3398.0,8466,"Missouri, Bates"
2004,Missouri,MO,Bates,George W. Bush,republican,5004.0,8466,"Missouri, Bates"
2004,Missouri,MO,Benton,John Kerry,democrat,3381.0,9009,"Missouri, Benton"
2004,Missouri,MO,Benton,George W. Bush,republican,5575.0,9009,"Missouri, Benton"
2004,Missouri,MO,Bollinger,John Kerry,democrat,1754.0,5895,"Missouri, Bollinger"
2004,Missouri,MO,Bollinger,George W. Bush,republican,4102.0,5895,"Missouri, Bollinger"
2004,Missouri,MO,Boone,John Kerry,democrat,37643.0,76046,"Missouri, Boone"
2004,Missouri,MO,Boone,George W. Bush,republican,37801.0,76046,"Missouri, Boone"
2004,Missouri,MO,Buchanan,John Kerry,democrat,17799.0,37950,"Missouri, Buchanan"
2004,Missouri,MO,Buchanan,George W. Bush,republican,19812.0,37950,"Missouri, Buchanan"
2004,Missouri,MO,Butler,John Kerry,democrat,4666.0,16441,"Missouri, Butler"
2004,Missouri,MO,Butler,George W. Bush,republican,11696.0,16441,"Missouri, Butler"
2004,Missouri,MO,Caldwell,John Kerry,democrat,1645.0,4268,"Missouri, Caldwell"
2004,Missouri,MO,Caldwell,George W. Bush,republican,2593.0,4268,"Missouri, Caldwell"
2004,Missouri,MO,Callaway,John Kerry,democrat,6559.0,17773,"Missouri, Callaway"
2004,Missouri,MO,Callaway,George W. Bush,republican,11108.0,17773,"Missouri, Callaway"
2004,Missouri,MO,Camden,John Kerry,democrat,6296.0,19519,"Missouri, Camden"
2004,Missouri,MO,Camden,George W. Bush,republican,13122.0,19519,"Missouri, Camden"
2004,Missouri,MO,Cape Girardeau,John Kerry,democrat,10568.0,34565,"Missouri, Cape Girardeau"
2004,Missouri,MO,Cape Girardeau,George W. Bush,republican,23814.0,34565,"Missouri, Cape Girardeau"
2004,Missouri,MO,Carroll,John Kerry,democrat,1568.0,4741,"Missouri, Carroll"
2004,Missouri,MO,Carroll,George W. Bush,republican,3155.0,4741,"Missouri, Carroll"
2004,Missouri,MO,Carter,John Kerry,democrat,964.0,2779,"Missouri, Carter"
2004,Missouri,MO,Carter,George W. Bush,republican,1797.0,2779,"Missouri, Carter"
2004,Missouri,MO,Cass,John Kerry,democrat,16681.0,44217,"Missouri, Cass"
2004,Missouri,MO,Cass,George W. Bush,republican,27253.0,44217,"Missouri, Cass"
2004,Missouri,MO,Cedar,John Kerry,democrat,1910.0,6203,"Missouri, Cedar"
2004,Missouri,MO,Cedar,George W. Bush,republican,4238.0,6203,"Missouri, Cedar"
2004,Missouri,MO,Chariton,John Kerry,democrat,1892.0,4340,"Missouri, Chariton"
2004,Missouri,MO,Chariton,George W. Bush,republican,2421.0,4340,"Missouri, Chariton"
2004,Missouri,MO,Christian,John Kerry,democrat,9059.0,31348,"Missouri, Christian"
2004,Missouri,MO,Christian,George W. Bush,republican,22102.0,31348,"Missouri, Christian"
2004,Missouri,MO,Clark,John Kerry,democrat,1794.0,3736,"Missouri, Clark"
2004,Missouri,MO,Clark,George W. Bush,republican,1899.0,3736,"Missouri, Clark"
2004,Missouri,MO,Clay,John Kerry,democrat,44670.0,96460,"Missouri, Clay"
2004,Missouri,MO,Clay,George W. Bush,republican,51193.0,96460,"Missouri, Clay"
2004,Missouri,MO,Clinton,John Kerry,democrat,4165.0,9540,"Missouri, Clinton"
2004,Missouri,MO,Clinton,George W. Bush,republican,5287.0,9540,"Missouri, Clinton"
2004,Missouri,MO,Cole,John Kerry,democrat,11753.0,36701,"Missouri, Cole"
2004,Missouri,MO,Cole,George W. Bush,republican,24752.0,36701,"Missouri, Cole"
2004,Missouri,MO,Cooper,John Kerry,democrat,2400.0,7508,"Missouri, Cooper"
2004,Missouri,MO,Cooper,George W. Bush,republican,5058.0,7508,"Missouri, Cooper"
2004,Missouri,MO,Crawford,John Kerry,democrat,3632.0,9381,"Missouri, Crawford"
2004,Missouri,MO,Crawford,George W. Bush,republican,5686.0,9381,"Missouri, Crawford"
2004,Missouri,MO,Dade,John Kerry,democrat,1104.0,4089,"Missouri, Dade"
2004,Missouri,MO,Dade,George W. Bush,republican,2963.0,4089,"Missouri, Dade"
