State,County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Arizona,Yuma,160576,162873,165398,168003,172824,178816,183848,187357,191202,193714
Arkansas,Arkansas,20776,20593,20351,19981,19967,19954,19785,19434,19275,19134
Arkansas,Ashley,24179,23824,23745,23469,23156,22770,22501,22229,22148,21920
Arkansas,Baxter,38446,38331,38506,38772,39334,39992,40867,41491,41519,41561
Arkansas,Benton,154744,159258,164926,171742,179010,186756,195569,203664,210807,216620
Arkansas,Boone,34051,34258,34448,34554,34900,35492,36056,36759,36974,36844
Arkansas,Bradley,12597,12427,12340,12263,12107,12012,11778,11737,11643,11538
Arkansas,Calhoun,5709,5599,5655,5646,5591,5675,5693,5659,5528,5421
Arkansas,Carroll,25369,25559,25796,26033,26052,26435,26615,26699,26822,27158
Arkansas,Chicot,14062,13758,13382,13173,12879,12729,12516,12313,12050,11851
Arkansas,Clark,23474,23516,23334,23032,22904,22800,22924,23139,23272,23100
Arkansas,Clay,17537,17307,17083,16951,16827,16790,16679,16464,16209,16056
Arkansas,Cleburne,24100,24204,24375,24711,25018,25274,25430,25545,25623,25870
Arkansas,Cleveland,8536,8637,8634,8694,8744,8859,8829,8896,8775,8649
Arkansas,Columbia,25599,25424,25362,25106,25154,25025,25133,24847,24666,24622
Arkansas,Conway,20312,20362,20366,20461,20519,20683,20753,20992,21025,21257
Arkansas,Craighead,82519,83276,83978,85000,86331,87512,89725,91350,93316,95482
Arkansas,Crawford,53404,54273,55026,55836,56832,57779,59126,60210,60933,61595
Arkansas,Crittenden,50915,50919,50622,50252,50266,50244,50360,50438,50699,50929
Arkansas,Cross,19458,19382,19106,18896,18782,18883,18525,18172,18200,17971
Arkansas,Dallas,9146,9005,8826,8740,8740,8589,8477,8367,8282,8188
Arkansas,Desha,15302,14958,14583,14405,14270,13992,13870,13523,13273,13108
Arkansas,Drew,18670,18660,18410,18537,18595,18618,18705,18535,18481,18495
Arkansas,Faulkner,86501,88830,90624,93618,96162,99192,102969,105637,108477,110813
Arkansas,Franklin,17737,17830,17856,17913,17955,18073,18151,18237,18229,18145
Arkansas,Fulton,11656,11676,11737,11831,12079,12127,12119,12354,12382,12231
Arkansas,Garland,88311,89032,89630,90483,91084,92096,94077,94753,95636,95840
Arkansas,Grant,16476,16608,16637,16731,17026,17244,17442,17483,17718,17751
Arkansas,Greene,37563,37934,38229,38604,39046,39599,40469,40918,41286,41723
Arkansas,Hempstead,23620,23318,23199,23090,22971,22924,22957,22918,22624,22615
Arkansas,Hot Spring,30480,30615,30877,30821,31071,31565,32248,32631,32737,32797
Arkansas,Howard,14233,14146,14070,14098,13991,14025,13843,13680,13804,13741
Arkansas,Independence,34333,34374,34512,34652,34989,35155,35426,35690,35859,36259
Arkansas,Izard,13298,13289,13273,13467,13512,13524,13583,13552,13681,13679
Arkansas,Jackson,18403,18029,18054,17914,18159,18269,18092,18098,17966,17945
Arkansas,Jefferson,84171,83322,82760,82193,81455,80562,79977,78788,78354,77759
Arkansas,Johnson,22813,22977,23293,23587,23850,24173,24596,25109,25236,25374
Arkansas,Lafayette,8539,8374,8240,8244,8153,8042,7879,7845,7806,7654
Arkansas,Lawrence,17672,17749,17688,17605,17541,17343,17193,17286,17460,17336
Arkansas,Lee,12527,12358,12151,11732,11512,11370,11067,10823,10786,10458
Arkansas,Lincoln,14477,14505,14571,14578,14466,14496,14315,14237,14176,14185
Arkansas,Little River,13613,13334,13413,13361,13176,13114,13147,13107,13099,13228
Arkansas,Logan,22500,22385,22454,22707,22682,22661,22689,22758,22699,22429
Arkansas,Lonoke,53153,54043,55184,56452,58449,60225,62648,64379,66086,67481
Arkansas,Madison,14272,14253,14137,14186,14437,14714,15156,15353,15619,15673
Arkansas,Marion,16162,16232,16149,16133,16293,16464,16759,16795,16996,16721
Arkansas,Miller,40436,40606,40923,41382,41765,42181,42669,42710,43047,43284
Arkansas,Mississippi,51849,51017,49957,48554,47777,47399,46983,46850,47037,46857
Arkansas,Monroe,10182,9947,9700,9579,9287,9176,8949,8670,8456,8286
Arkansas,Montgomery,9263,9221,9150,9239,9334,9358,9437,9478,9573,9490
Arkansas,Nevada,9895,9774,9652,9590,9535,9479,9383,9267,9062,9058
Arkansas,Newton,8642,8534,8534,8613,8503,8467,8474,8428,8423,8311
Arkansas,Ouachita,28677,28088,27701,27488,27107,26934,26656,26448,26202,26024
Arkansas,Perry,10223,10306,10363,10346,10352,10356,10352,10496,10441,10443
Arkansas,Phillips,26290,25821,25067,24520,24174,23946,23244,22775,22411,21976
Arkansas,Pike,11332,11306,11321,11243,11246,11216,11262,11342,11283,11260
