location,year,state,state_code,county,candidate,party,candidate_votes,total_votes,Location
"Alabama, Morgan",2016,Alabama,AL,Morgan,Hillary Clinton,democrat,11254.0,50644,"Alabama, Morgan"
"Alabama, Morgan",2016,Alabama,AL,Morgan,Donald Trump,republican,37486.0,50644,"Alabama, Morgan"
"Alabama, Perry",2016,Alabama,AL,Perry,Hillary Clinton,democrat,3824.0,5278,"Alabama, Perry"
"Alabama, Perry",2016,Alabama,AL,Perry,Donald Trump,republican,1407.0,5278,"Alabama, Perry"
"Alabama, Pickens",2016,Alabama,AL,Pickens,Hillary Clinton,democrat,3972.0,9542,"Alabama, Pickens"
"Alabama, Pickens",2016,Alabama,AL,Pickens,Donald Trump,republican,5456.0,9542,"Alabama, Pickens"
"Alabama, Pike",2016,Alabama,AL,Pike,Hillary Clinton,democrat,5056.0,13168,"Alabama, Pike"
"Alabama, Pike",2016,Alabama,AL,Pike,Donald Trump,republican,7693.0,13168,"Alabama, Pike"
"Alabama, Randolph",2016,Alabama,AL,Randolph,Hillary Clinton,democrat,2291.0,10187,"Alabama, Randolph"
"Alabama, Randolph",2016,Alabama,AL,Randolph,Donald Trump,republican,7705.0,10187,"Alabama, Randolph"
"Alabama, Russell",2016,Alabama,AL,Russell,Hillary Clinton,democrat,9579.0,19256,"Alabama, Russell"
"Alabama, Russell",2016,Alabama,AL,Russell,Donald Trump,republican,9210.0,19256,"Alabama, Russell"
"Alabama, Shelby",2016,Alabama,AL,Shelby,Hillary Clinton,democrat,22977.0,101254,"Alabama, Shelby"
"Alabama, Shelby",2016,Alabama,AL,Shelby,Donald Trump,republican,73020.0,101254,"Alabama, Shelby"
"Alabama, St. Clair",2016,Alabama,AL,St. Clair,Hillary Clinton,democrat,5589.0,38400,"Alabama, St. Clair"
"Alabama, St. Clair",2016,Alabama,AL,St. Clair,Donald Trump,republican,31651.0,38400,"Alabama, St. Clair"
"Alabama, Sumter",2016,Alabama,AL,Sumter,Hillary Clinton,democrat,4746.0,6411,"Alabama, Sumter"
"Alabama, Sumter",2016,Alabama,AL,Sumter,Donald Trump,republican,1581.0,6411,"Alabama, Sumter"
"Alabama, Talladega",2016,Alabama,AL,Talladega,Hillary Clinton,democrat,12121.0,33407,"Alabama, Talladega"
"Alabama, Talladega",2016,Alabama,AL,Talladega,Donald Trump,republican,20614.0,33407,"Alabama, Talladega"
"Alabama, Tallapoosa",2016,Alabama,AL,Tallapoosa,Hillary Clinton,democrat,5519.0,19486,"Alabama, Tallapoosa"
"Alabama, Tallapoosa",2016,Alabama,AL,Tallapoosa,Donald Trump,republican,13594.0,19486,"Alabama, Tallapoosa"
"Alabama, Tuscaloosa",2016,Alabama,AL,Tuscaloosa,Hillary Clinton,democrat,31762.0,82700,"Alabama, Tuscaloosa"
"Alabama, Tuscaloosa",2016,Alabama,AL,Tuscaloosa,Donald Trump,republican,47723.0,82700,"Alabama, Tuscaloosa"
"Alabama, Walker",2016,Alabama,AL,Walker,Hillary Clinton,democrat,4497.0,29472,"Alabama, Walker"
"Alabama, Walker",2016,Alabama,AL,Walker,Donald Trump,republican,24266.0,29472,"Alabama, Walker"
"Alabama, Washington",2016,Alabama,AL,Washington,Hillary Clinton,democrat,2374.0,8533,"Alabama, Washington"
"Alabama, Washington",2016,Alabama,AL,Washington,Donald Trump,republican,6042.0,8533,"Alabama, Washington"
"Alabama, Wilcox",2016,Alabama,AL,Wilcox,Hillary Clinton,democrat,4339.0,6118,"Alabama, Wilcox"
"Alabama, Wilcox",2016,Alabama,AL,Wilcox,Donald Trump,republican,1737.0,6118,"Alabama, Wilcox"
"Alabama, Winston",2016,Alabama,AL,Winston,Hillary Clinton,democrat,872.0,10313,"Alabama, Winston"
"Alabama, Winston",2016,Alabama,AL,Winston,Donald Trump,republican,9228.0,10313,"Alabama, Winston"
"Arizona, Apache",2016,Arizona,AZ,Apache,Hillary Clinton,democrat,17083.0,27661,"Arizona, Apache"
"Arizona, Apache",2016,Arizona,AZ,Apache,Donald Trump,republican,8240.0,27661,"Arizona, Apache"
"Arizona, Cochise",2016,Arizona,AZ,Cochise,Hillary Clinton,democrat,17450.0,50015,"Arizona, Cochise"
"Arizona, Cochise",2016,Arizona,AZ,Cochise,Donald Trump,republican,28092.0,50015,"Arizona, Cochise"
"Arizona, Coconino",2016,Arizona,AZ,Coconino,Hillary Clinton,democrat,32404.0,59784,"Arizona, Coconino"
"Arizona, Coconino",2016,Arizona,AZ,Coconino,Donald Trump,republican,21108.0,59784,"Arizona, Coconino"
"Arizona, Gila",2016,Arizona,AZ,Gila,Hillary Clinton,democrat,7003.0,36697,"Arizona, Gila"
"Arizona, Gila",2016,Arizona,AZ,Gila,Donald Trump,republican,14182.0,36697,"Arizona, Gila"
"Arizona, Graham",2016,Arizona,AZ,Graham,Hillary Clinton,democrat,3301.0,20306,"Arizona, Graham"
"Arizona, Graham",2016,Arizona,AZ,Graham,Donald Trump,republican,8025.0,20306,"Arizona, Graham"
"Arizona, Greenlee",2016,Arizona,AZ,Greenlee,Hillary Clinton,democrat,1092.0,5192,"Arizona, Greenlee"
"Arizona, Greenlee",2016,Arizona,AZ,Greenlee,Donald Trump,republican,1892.0,5192,"Arizona, Greenlee"
"Arizona, La Paz",2016,Arizona,AZ,La Paz,Hillary Clinton,democrat,1575.0,5951,"Arizona, La Paz"
"Arizona, La Paz",2016,Arizona,AZ,La Paz,Donald Trump,republican,4003.0,5951,"Arizona, La Paz"
"Arizona, Maricopa",2016,Arizona,AZ,Maricopa,Hillary Clinton,democrat,702907.0,1567834,"Arizona, Maricopa"
"Arizona, Maricopa",2016,Arizona,AZ,Maricopa,Donald Trump,republican,747361.0,1567834,"Arizona, Maricopa"
"Arizona, Mohave",2016,Arizona,AZ,Mohave,Hillary Clinton,democrat,17455.0,79943,"Arizona, Mohave"
"Arizona, Mohave",2016,Arizona,AZ,Mohave,Donald Trump,republican,58282.0,79943,"Arizona, Mohave"
"Arizona, Navajo",2016,Arizona,AZ,Navajo,Hillary Clinton,democrat,16459.0,40294,"Arizona, Navajo"
"Arizona, Navajo",2016,Arizona,AZ,Navajo,Donald Trump,republican,20577.0,40294,"Arizona, Navajo"
"Arizona, Pima",2016,Arizona,AZ,Pima,Hillary Clinton,democrat,224661.0,421640,"Arizona, Pima"
"Arizona, Pima",2016,Arizona,AZ,Pima,Donald Trump,republican,167428.0,421640,"Arizona, Pima"
"Arizona, Pinal",2016,Arizona,AZ,Pinal,Hillary Clinton,democrat,47892.0,129546,"Arizona, Pinal"
"Arizona, Pinal",2016,Arizona,AZ,Pinal,Donald Trump,republican,72819.0,129546,"Arizona, Pinal"
"Arizona, Santa Cruz",2016,Arizona,AZ,Santa Cruz,Hillary Clinton,democrat,11690.0,16433,"Arizona, Santa Cruz"
"Arizona, Santa Cruz",2016,Arizona,AZ,Santa Cruz,Donald Trump,republican,3897.0,16433,"Arizona, Santa Cruz"
"Arizona, Yavapai",2016,Arizona,AZ,Yavapai,Hillary Clinton,democrat,35590.0,114450,"Arizona, Yavapai"
"Arizona, Yavapai",2016,Arizona,AZ,Yavapai,Donald Trump,republican,71330.0,114450,"Arizona, Yavapai"
"Arizona, Yuma",2016,Arizona,AZ,Yuma,Hillary Clinton,democrat,24605.0,53010,"Arizona, Yuma"
"Arizona, Yuma",2016,Arizona,AZ,Yuma,Donald Trump,republican,25165.0,53010,"Arizona, Yuma"
"Arkansas, Arkansas",2016,Arkansas,AR,Arkansas,Hillary Clinton,democrat,1939.0,6212,"Arkansas, Arkansas"
