Location,Total_Votes_2016,2016_republican_votes,2016_democrat_votes,State_Code
"Florida, Calhoun",6081,4655.0,1241.0,FL
"Florida, Charlotte",96374,60218.0,33445.0,FL
"Florida, Citrus",79700,54456.0,22789.0,FL
"Florida, Clay",106483,74963.0,27822.0,FL
"Florida, Collier",170789,105423.0,61085.0,FL
"Florida, Columbia",28707,20368.0,7601.0,FL
"Florida, Dixie",7202,5822.0,1270.0,FL
"Florida, Duval",432695,211672.0,205704.0,FL
"Florida, Escambia",152469,88808.0,57461.0,FL
"Florida, Flagler",57503,33850.0,22026.0,FL
"Florida, Franklin",6015,4125.0,1744.0,FL
"Florida, Gadsden",22113,6728.0,15020.0,FL
"Florida, Gilchrist",8420,6740.0,1458.0,FL
"Florida, Glades",4353,2996.0,1271.0,FL
"Florida, Gulf",7293,5329.0,1720.0,FL
"Florida, Hamilton",5460,3443.0,1904.0,FL
"Florida, Hardee",7583,5242.0,2149.0,FL
"Florida, Hendry",11115,6195.0,4615.0,FL
"Florida, Hernando",93796,58970.0,31795.0,FL
"Florida, Highlands",45686,29565.0,14937.0,FL
"Florida, Hillsborough",597660,266870.0,307896.0,FL
"Florida, Holmes",8514,7483.0,853.0,FL
"Florida, Indian River",80009,48620.0,29043.0,FL
"Florida, Jackson",21041,14257.0,6397.0,FL
"Florida, Jefferson",7645,3930.0,3541.0,FL
"Florida, Lafayette",3392,2809.0,518.0,FL
"Florida, Lake",170462,102188.0,62838.0,FL
"Florida, Lee",326420,191551.0,124908.0,FL
"Florida, Leon",152132,53821.0,92068.0,FL
"Florida, Levy",19395,13775.0,5101.0,FL
"Florida, Liberty",3296,2543.0,651.0,FL
"Florida, Madison",8505,4851.0,3526.0,FL
"Florida, Manatee",178958,101944.0,71224.0,FL
"Florida, Marion",174700,107833.0,62041.0,FL
"Florida, Martin",85792,53204.0,30185.0,FL
"Florida, Miami-Dade",980204,333999.0,624146.0,FL
"Florida, Monroe",42478,21904.0,18971.0,FL
"Florida, Nassau",46607,34266.0,10869.0,FL
"Florida, Okaloosa",100855,71893.0,23780.0,FL
"Florida, Okeechobee",13653,9356.0,3959.0,FL
"Florida, Orange",546275,195216.0,329894.0,FL
"Florida, Osceola",140206,50301.0,85458.0,FL
"Florida, Palm Beach",662332,272402.0,374673.0,FL
"Florida, Pasco",241139,142101.0,90142.0,FL
"Florida, Pinellas",492403,239201.0,233701.0,FL
"Florida, Polk",284314,157430.0,117433.0,FL
"Florida, Putnam",33117,22138.0,10094.0,FL
"Florida, Santa Rosa",87745,65339.0,18464.0,FL
"Florida, Sarasota",229063,124438.0,97870.0,FL
"Florida, Seminole",224896,109443.0,105914.0,FL
"Florida, St. Johns",136514,88684.0,43099.0,FL
"Florida, St. Lucie",140847,70289.0,66881.0,FL
"Florida, Sumter",76665,52730.0,22638.0,FL
"Florida, Suwannee",18694,14287.0,3964.0,FL
"Florida, Taylor",9290,6930.0,2152.0,FL
"Florida, Union",5694,4568.0,1014.0,FL
"Florida, Volusia",260869,143007.0,109091.0,FL
"Florida, Wakulla",15351,10512.0,4348.0,FL
"Florida, Walton",33637,25756.0,6876.0,FL
"Florida, Washington",11156,8637.0,2264.0,FL
"Georgia, Appling",7012,5494.0,1434.0,GA
"Georgia, Atkinson",2610,1878.0,697.0,GA
"Georgia, Bacon",4020,3364.0,608.0,GA
"Georgia, Baker",1440,775.0,650.0,GA
"Georgia, Baldwin",16116,7697.0,7970.0,GA
"Georgia, Banks",6975,6134.0,684.0,GA
"Georgia, Barrow",29060,21108.0,6580.0,GA
