Location,State_Code_x,County,State,State_Code_y,Party,Candidate,Total_Votes,County_Pop_2016
"Alabama, Randolph",AL,Randolph,Alabama,AL,democrat,Hillary Clinton,10187,"22,504"
"Alabama, Randolph",AL,Randolph,Alabama,AL,republican,Donald Trump,10187,"22,504"
"Alabama, Russell",AL,Russell,Alabama,AL,democrat,Hillary Clinton,19256,"58,185"
"Alabama, Russell",AL,Russell,Alabama,AL,republican,Donald Trump,19256,"58,185"
"Alabama, Shelby",AL,Shelby,Alabama,AL,democrat,Hillary Clinton,101254,"211,282"
"Alabama, Shelby",AL,Shelby,Alabama,AL,republican,Donald Trump,101254,"211,282"
"Alabama, St. Clair",AL,St. Clair,Alabama,AL,democrat,Hillary Clinton,38400,
"Alabama, St. Clair",AL,St. Clair,Alabama,AL,republican,Donald Trump,38400,
"Alabama, Sumter",AL,Sumter,Alabama,AL,democrat,Hillary Clinton,6411,"12,967"
"Alabama, Sumter",AL,Sumter,Alabama,AL,republican,Donald Trump,6411,"12,967"
"Alabama, Talladega",AL,Talladega,Alabama,AL,democrat,Hillary Clinton,33407,"80,552"
"Alabama, Talladega",AL,Talladega,Alabama,AL,republican,Donald Trump,33407,"80,552"
"Alabama, Tallapoosa",AL,Tallapoosa,Alabama,AL,democrat,Hillary Clinton,19486,"40,586"
"Alabama, Tallapoosa",AL,Tallapoosa,Alabama,AL,republican,Donald Trump,19486,"40,586"
"Alabama, Tuscaloosa",AL,Tuscaloosa,Alabama,AL,democrat,Hillary Clinton,82700,"206,464"
"Alabama, Tuscaloosa",AL,Tuscaloosa,Alabama,AL,republican,Donald Trump,82700,"206,464"
"Alabama, Walker",AL,Walker,Alabama,AL,democrat,Hillary Clinton,29472,"64,533"
"Alabama, Walker",AL,Walker,Alabama,AL,republican,Donald Trump,29472,"64,533"
"Alabama, Washington",AL,Washington,Alabama,AL,democrat,Hillary Clinton,8533,"16,621"
"Alabama, Washington",AL,Washington,Alabama,AL,republican,Donald Trump,8533,"16,621"
"Alabama, Wilcox",AL,Wilcox,Alabama,AL,democrat,Hillary Clinton,6118,"10,844"
"Alabama, Wilcox",AL,Wilcox,Alabama,AL,republican,Donald Trump,6118,"10,844"
"Alabama, Winston",AL,Winston,Alabama,AL,democrat,Hillary Clinton,10313,"23,907"
"Alabama, Winston",AL,Winston,Alabama,AL,republican,Donald Trump,10313,"23,907"
"Arizona, Apache",AZ,Apache,Arizona,AZ,democrat,Hillary Clinton,27661,"71,381"
"Arizona, Apache",AZ,Apache,Arizona,AZ,republican,Donald Trump,27661,"71,381"
"Arizona, Cochise",AZ,Cochise,Arizona,AZ,democrat,Hillary Clinton,50015,"125,686"
"Arizona, Cochise",AZ,Cochise,Arizona,AZ,republican,Donald Trump,50015,"125,686"
"Arizona, Coconino",AZ,Coconino,Arizona,AZ,democrat,Hillary Clinton,59784,"140,407"
"Arizona, Coconino",AZ,Coconino,Arizona,AZ,republican,Donald Trump,59784,"140,407"
"Arizona, Gila",AZ,Gila,Arizona,AZ,democrat,Hillary Clinton,36697,"53,356"
"Arizona, Gila",AZ,Gila,Arizona,AZ,republican,Donald Trump,36697,"53,356"
"Arizona, Graham",AZ,Graham,Arizona,AZ,democrat,Hillary Clinton,20306,"37,807"
"Arizona, Graham",AZ,Graham,Arizona,AZ,republican,Donald Trump,20306,"37,807"
"Arizona, Greenlee",AZ,Greenlee,Arizona,AZ,democrat,Hillary Clinton,5192,"9,643"
"Arizona, Greenlee",AZ,Greenlee,Arizona,AZ,republican,Donald Trump,5192,"9,643"
"Arizona, La Paz",AZ,La Paz,Arizona,AZ,democrat,Hillary Clinton,5951,"20,648"
"Arizona, La Paz",AZ,La Paz,Arizona,AZ,republican,Donald Trump,5951,"20,648"
"Arizona, Maricopa",AZ,Maricopa,Arizona,AZ,democrat,Hillary Clinton,1567834,"4,256,143"
"Arizona, Maricopa",AZ,Maricopa,Arizona,AZ,republican,Donald Trump,1567834,"4,256,143"
"Arizona, Mohave",AZ,Mohave,Arizona,AZ,democrat,Hillary Clinton,79943,"205,412"
"Arizona, Mohave",AZ,Mohave,Arizona,AZ,republican,Donald Trump,79943,"205,412"
"Arizona, Navajo",AZ,Navajo,Arizona,AZ,democrat,Hillary Clinton,40294,"108,467"
"Arizona, Navajo",AZ,Navajo,Arizona,AZ,republican,Donald Trump,40294,"108,467"
"Arizona, Pima",AZ,Pima,Arizona,AZ,democrat,Hillary Clinton,421640,"1,016,707"
"Arizona, Pima",AZ,Pima,Arizona,AZ,republican,Donald Trump,421640,"1,016,707"
"Arizona, Pinal",AZ,Pinal,Arizona,AZ,democrat,Hillary Clinton,129546,"417,193"
"Arizona, Pinal",AZ,Pinal,Arizona,AZ,republican,Donald Trump,129546,"417,193"
"Arizona, Santa Cruz",AZ,Santa Cruz,Arizona,AZ,democrat,Hillary Clinton,16433,"46,400"
"Arizona, Santa Cruz",AZ,Santa Cruz,Arizona,AZ,republican,Donald Trump,16433,"46,400"
"Arizona, Yavapai",AZ,Yavapai,Arizona,AZ,democrat,Hillary Clinton,114450,"224,575"
"Arizona, Yavapai",AZ,Yavapai,Arizona,AZ,republican,Donald Trump,114450,"224,575"
"Arizona, Yuma",AZ,Yuma,Arizona,AZ,democrat,Hillary Clinton,53010,"207,247"
"Arizona, Yuma",AZ,Yuma,Arizona,AZ,republican,Donald Trump,53010,"207,247"
"Arkansas, Arkansas",AR,Arkansas,Arkansas,AR,democrat,Hillary Clinton,6212,"18,154"
"Arkansas, Arkansas",AR,Arkansas,Arkansas,AR,republican,Donald Trump,6212,"18,154"
"Arkansas, Ashley",AR,Ashley,Arkansas,AR,democrat,Hillary Clinton,8083,"20,530"
"Arkansas, Ashley",AR,Ashley,Arkansas,AR,republican,Donald Trump,8083,"20,530"
"Arkansas, Baxter",AR,Baxter,Arkansas,AR,democrat,Hillary Clinton,19766,"41,131"
"Arkansas, Baxter",AR,Baxter,Arkansas,AR,republican,Donald Trump,19766,"41,131"
"Arkansas, Benton",AR,Benton,Arkansas,AR,democrat,Hillary Clinton,96824,"259,212"
"Arkansas, Benton",AR,Benton,Arkansas,AR,republican,Donald Trump,96824,"259,212"
"Arkansas, Boone",AR,Boone,Arkansas,AR,democrat,Hillary Clinton,16111,"37,259"
"Arkansas, Boone",AR,Boone,Arkansas,AR,republican,Donald Trump,16111,"37,259"
"Arkansas, Bradley",AR,Bradley,Arkansas,AR,democrat,Hillary Clinton,3653,"10,959"
"Arkansas, Bradley",AR,Bradley,Arkansas,AR,republican,Donald Trump,3653,"10,959"
"Arkansas, Calhoun",AR,Calhoun,Arkansas,AR,democrat,Hillary Clinton,2269,"5,143"
"Arkansas, Calhoun",AR,Calhoun,Arkansas,AR,republican,Donald Trump,2269,"5,143"
"Arkansas, Carroll",AR,Carroll,Arkansas,AR,democrat,Hillary Clinton,10758,"27,728"
"Arkansas, Carroll",AR,Carroll,Arkansas,AR,republican,Donald Trump,10758,"27,728"
"Arkansas, Chicot",AR,Chicot,Arkansas,AR,democrat,Hillary Clinton,4176,"10,899"
"Arkansas, Chicot",AR,Chicot,Arkansas,AR,republican,Donald Trump,4176,"10,899"
"Arkansas, Clark",AR,Clark,Arkansas,AR,democrat,Hillary Clinton,8526,"22,602"
"Arkansas, Clark",AR,Clark,Arkansas,AR,republican,Donald Trump,8526,"22,602"
"Arkansas, Clay",AR,Clay,Arkansas,AR,democrat,Hillary Clinton,5200,"15,060"
"Arkansas, Clay",AR,Clay,Arkansas,AR,republican,Donald Trump,5200,"15,060"
"Arkansas, Cleburne",AR,Cleburne,Arkansas,AR,democrat,Hillary Clinton,12085,"25,173"
"Arkansas, Cleburne",AR,Cleburne,Arkansas,AR,republican,Donald Trump,12085,"25,173"
"Arkansas, Cleveland",AR,Cleveland,Arkansas,AR,democrat,Hillary Clinton,3354,"8,245"
"Arkansas, Cleveland",AR,Cleveland,Arkansas,AR,republican,Donald Trump,3354,"8,245"
"Arkansas, Columbia",AR,Columbia,Arkansas,AR,democrat,Hillary Clinton,8887,"24,026"
"Arkansas, Columbia",AR,Columbia,Arkansas,AR,republican,Donald Trump,8887,"24,026"
"Arkansas, Conway",AR,Conway,Arkansas,AR,democrat,Hillary Clinton,7927,"20,874"
"Arkansas, Conway",AR,Conway,Arkansas,AR,republican,Donald Trump,7927,"20,874"
"Arkansas, Craighead",AR,Craighead,Arkansas,AR,democrat,Hillary Clinton,35573,"105,932"
"Arkansas, Craighead",AR,Craighead,Arkansas,AR,republican,Donald Trump,35573,"105,932"
"Arkansas, Crawford",AR,Crawford,Arkansas,AR,democrat,Hillary Clinton,22450,"62,263"
"Arkansas, Crawford",AR,Crawford,Arkansas,AR,republican,Donald Trump,22450,"62,263"
"Arkansas, Crittenden",AR,Crittenden,Arkansas,AR,democrat,Hillary Clinton,15952,"49,306"
"Arkansas, Crittenden",AR,Crittenden,Arkansas,AR,republican,Donald Trump,15952,"49,306"
"Arkansas, Cross",AR,Cross,Arkansas,AR,democrat,Hillary Clinton,6874,"17,025"
"Arkansas, Cross",AR,Cross,Arkansas,AR,republican,Donald Trump,6874,"17,025"
"Arkansas, Dallas",AR,Dallas,Arkansas,AR,democrat,Hillary Clinton,2771,"7,399"
"Arkansas, Dallas",AR,Dallas,Arkansas,AR,republican,Donald Trump,2771,"7,399"
"Arkansas, Desha",AR,Desha,Arkansas,AR,democrat,Hillary Clinton,4257,"11,905"
"Arkansas, Desha",AR,Desha,Arkansas,AR,republican,Donald Trump,4257,"11,905"
"Arkansas, Drew",AR,Drew,Arkansas,AR,democrat,Hillary Clinton,6595,"18,553"
"Arkansas, Drew",AR,Drew,Arkansas,AR,republican,Donald Trump,6595,"18,553"
"Arkansas, Faulkner",AR,Faulkner,Arkansas,AR,democrat,Hillary Clinton,47527,"122,206"
"Arkansas, Faulkner",AR,Faulkner,Arkansas,AR,republican,Donald Trump,47527,"122,206"
"Arkansas, Franklin",AR,Franklin,Arkansas,AR,democrat,Hillary Clinton,6770,"17,655"
"Arkansas, Franklin",AR,Franklin,Arkansas,AR,republican,Donald Trump,6770,"17,655"
"Arkansas, Fulton",AR,Fulton,Arkansas,AR,democrat,Hillary Clinton,4772,"12,099"
"Arkansas, Fulton",AR,Fulton,Arkansas,AR,republican,Donald Trump,4772,"12,099"
"Arkansas, Garland",AR,Garland,Arkansas,AR,democrat,Hillary Clinton,40805,"98,282"
"Arkansas, Garland",AR,Garland,Arkansas,AR,republican,Donald Trump,40805,"98,282"
"Arkansas, Grant",AR,Grant,Arkansas,AR,democrat,Hillary Clinton,7445,"18,064"
"Arkansas, Grant",AR,Grant,Arkansas,AR,republican,Donald Trump,7445,"18,064"
"Arkansas, Greene",AR,Greene,Arkansas,AR,democrat,Hillary Clinton,14600,"44,730"
"Arkansas, Greene",AR,Greene,Arkansas,AR,republican,Donald Trump,14600,"44,730"
"Arkansas, Hempstead",AR,Hempstead,Arkansas,AR,democrat,Hillary Clinton,7049,"22,032"
"Arkansas, Hempstead",AR,Hempstead,Arkansas,AR,republican,Donald Trump,7049,"22,032"
"Arkansas, Hot Spring",AR,Hot Spring,Arkansas,AR,democrat,Hillary Clinton,11944,"33,438"
"Arkansas, Hot Spring",AR,Hot Spring,Arkansas,AR,republican,Donald Trump,11944,"33,438"
"Arkansas, Howard",AR,Howard,Arkansas,AR,democrat,Hillary Clinton,4674,"13,350"
"Arkansas, Howard",AR,Howard,Arkansas,AR,republican,Donald Trump,4674,"13,350"
"Arkansas, Independence",AR,Independence,Arkansas,AR,democrat,Hillary Clinton,13614,"37,117"
"Arkansas, Independence",AR,Independence,Arkansas,AR,republican,Donald Trump,13614,"37,117"
"Arkansas, Izard",AR,Izard,Arkansas,AR,democrat,Hillary Clinton,5448,"13,488"
"Arkansas, Izard",AR,Izard,Arkansas,AR,republican,Donald Trump,5448,"13,488"
"Arkansas, Jackson",AR,Jackson,Arkansas,AR,democrat,Hillary Clinton,5156,"17,282"
"Arkansas, Jackson",AR,Jackson,Arkansas,AR,republican,Donald Trump,5156,"17,282"
"Arkansas, Jefferson",AR,Jefferson,Arkansas,AR,democrat,Hillary Clinton,25894,"70,407"
"Arkansas, Jefferson",AR,Jefferson,Arkansas,AR,republican,Donald Trump,25894,"70,407"
"Arkansas, Johnson",AR,Johnson,Arkansas,AR,democrat,Hillary Clinton,9112,"26,127"
"Arkansas, Johnson",AR,Johnson,Arkansas,AR,republican,Donald Trump,9112,"26,127"
"Arkansas, Lafayette",AR,Lafayette,Arkansas,AR,democrat,Hillary Clinton,2860,"6,888"
"Arkansas, Lafayette",AR,Lafayette,Arkansas,AR,republican,Donald Trump,2860,"6,888"
"Arkansas, Lawrence",AR,Lawrence,Arkansas,AR,democrat,Hillary Clinton,5685,"16,639"
"Arkansas, Lawrence",AR,Lawrence,Arkansas,AR,republican,Donald Trump,5685,"16,639"
"Arkansas, Lee",AR,Lee,Arkansas,AR,democrat,Hillary Clinton,3026,"9,337"
"Arkansas, Lee",AR,Lee,Arkansas,AR,republican,Donald Trump,3026,"9,337"
"Arkansas, Lincoln",AR,Lincoln,Arkansas,AR,democrat,Hillary Clinton,3826,"13,728"
"Arkansas, Lincoln",AR,Lincoln,Arkansas,AR,republican,Donald Trump,3826,"13,728"
"Arkansas, Little River",AR,Little River,Arkansas,AR,democrat,Hillary Clinton,5227,"12,406"
"Arkansas, Little River",AR,Little River,Arkansas,AR,republican,Donald Trump,5227,"12,406"
"Arkansas, Logan",AR,Logan,Arkansas,AR,democrat,Hillary Clinton,7921,"21,732"
"Arkansas, Logan",AR,Logan,Arkansas,AR,republican,Donald Trump,7921,"21,732"
"Arkansas, Lonoke",AR,Lonoke,Arkansas,AR,democrat,Hillary Clinton,27100,"71,803"
"Arkansas, Lonoke",AR,Lonoke,Arkansas,AR,republican,Donald Trump,27100,"71,803"
"Arkansas, Madison",AR,Madison,Arkansas,AR,democrat,Hillary Clinton,6841,"16,112"
"Arkansas, Madison",AR,Madison,Arkansas,AR,republican,Donald Trump,6841,"16,112"
"Arkansas, Marion",AR,Marion,Arkansas,AR,democrat,Hillary Clinton,7107,"16,376"
"Arkansas, Marion",AR,Marion,Arkansas,AR,republican,Donald Trump,7107,"16,376"
"Arkansas, Miller",AR,Miller,Arkansas,AR,democrat,Hillary Clinton,16091,"43,713"
"Arkansas, Miller",AR,Miller,Arkansas,AR,republican,Donald Trump,16091,"43,713"
"Arkansas, Mississippi",AR,Mississippi,Arkansas,AR,democrat,Hillary Clinton,13204,"42,900"
"Arkansas, Mississippi",AR,Mississippi,Arkansas,AR,republican,Donald Trump,13204,"42,900"
"Arkansas, Monroe",AR,Monroe,Arkansas,AR,democrat,Hillary Clinton,2884,"7,205"
"Arkansas, Monroe",AR,Monroe,Arkansas,AR,republican,Donald Trump,2884,"7,205"
"Arkansas, Montgomery",AR,Montgomery,Arkansas,AR,democrat,Hillary Clinton,3559,"8,936"
"Arkansas, Montgomery",AR,Montgomery,Arkansas,AR,republican,Donald Trump,3559,"8,936"
"Arkansas, Nevada",AR,Nevada,Arkansas,AR,democrat,Hillary Clinton,3246,"8,378"
"Arkansas, Nevada",AR,Nevada,Arkansas,AR,republican,Donald Trump,3246,"8,378"
"Arkansas, Newton",AR,Newton,Arkansas,AR,democrat,Hillary Clinton,3753,"7,848"
"Arkansas, Newton",AR,Newton,Arkansas,AR,republican,Donald Trump,3753,"7,848"
"Arkansas, Ouachita",AR,Ouachita,Arkansas,AR,democrat,Hillary Clinton,9935,"24,013"
"Arkansas, Ouachita",AR,Ouachita,Arkansas,AR,republican,Donald Trump,9935,"24,013"
"Arkansas, Perry",AR,Perry,Arkansas,AR,democrat,Hillary Clinton,4306,"10,286"
"Arkansas, Perry",AR,Perry,Arkansas,AR,republican,Donald Trump,4306,"10,286"
"Arkansas, Phillips",AR,Phillips,Arkansas,AR,democrat,Hillary Clinton,6953,"19,050"
"Arkansas, Phillips",AR,Phillips,Arkansas,AR,republican,Donald Trump,6953,"19,050"
"Arkansas, Pike",AR,Pike,Arkansas,AR,democrat,Hillary Clinton,3981,"10,826"
"Arkansas, Pike",AR,Pike,Arkansas,AR,republican,Donald Trump,3981,"10,826"
"Arkansas, Poinsett",AR,Poinsett,Arkansas,AR,democrat,Hillary Clinton,7722,"23,974"
"Arkansas, Poinsett",AR,Poinsett,Arkansas,AR,republican,Donald Trump,7722,"23,974"
"Arkansas, Polk",AR,Polk,Arkansas,AR,democrat,Hillary Clinton,8231,"20,145"
"Arkansas, Polk",AR,Polk,Arkansas,AR,republican,Donald Trump,8231,"20,145"
"Arkansas, Pope",AR,Pope,Arkansas,AR,democrat,Hillary Clinton,22569,"63,897"
"Arkansas, Pope",AR,Pope,Arkansas,AR,republican,Donald Trump,22569,"63,897"
"Arkansas, Prairie",AR,Prairie,Arkansas,AR,democrat,Hillary Clinton,3444,"8,252"
"Arkansas, Prairie",AR,Prairie,Arkansas,AR,republican,Donald Trump,3444,"8,252"
"Arkansas, Pulaski",AR,Pulaski,Arkansas,AR,democrat,Hillary Clinton,159776,"394,151"
"Arkansas, Pulaski",AR,Pulaski,Arkansas,AR,republican,Donald Trump,159776,"394,151"
"Arkansas, Randolph",AR,Randolph,Arkansas,AR,democrat,Hillary Clinton,6379,"17,444"
